year;region;area;sample;square;N.sample
2002;East_Murman_Murman;DZ;II;10;0
2002;East_Murman;DZ;M-1;10;0
2002;East_Murman;DZ;M-2;10;0
2002;East_Murman;DZ;M-3;10;0
2002;East_Murman;DZ;M-4;10;0
2002;East_Murman;DZ;M-5;10;0
2002;East_Murman;DZ;VI;10;4
2002;East_Murman;DZ;M-17;10;2
2002;East_Murman;DZ;M-18;10;5
2002;East_Murman;DZ;M-19;10;2
2002;East_Murman;DZ;III;10;1
2002;East_Murman;DZ;M-13;10;3
2002;East_Murman;DZ;M-14;10;1
2002;East_Murman;DZ;M-15;10;2
2002;East_Murman;DZ;M-16;10;2
2002;East_Murman;DZ;IV;10;0
2002;East_Murman;DZ;M-23;10;NA
2002;East_Murman;DZ;M-24;10;NA
2002;East_Murman;DZ;M-25;10;NA
2002;East_Murman;DZ;VII;10;3
2002;East_Murman;DZ;M-20;10;NA
2002;East_Murman;DZ;M-21;10;NA
2002;East_Murman;DZ;M-22;10;NA
2002;East_Murman;DZ;I;10;0
2002;East_Murman;DZ;M-9;10;4
2002;East_Murman;DZ;M-10;10;6
2002;East_Murman;DZ;M-11;10;1
2002;East_Murman;DZ;VIII;10;0
2002;East_Murman;DZ;M-6;10;0
2002;East_Murman;DZ;M-7;10;0
2002;East_Murman;DZ;M-8;10;0
2003;East_Murman;DZ;II;10;1
2003;East_Murman;DZ;M-1;10;0
2003;East_Murman;DZ;M-2;10;1
2003;East_Murman;DZ;M-3;10;0
2003;East_Murman;DZ;M-4;10;0
2003;East_Murman;DZ;M-5;10;0
2003;East_Murman;DZ;VI;10;1
2003;East_Murman;DZ;M-17;10;0
2003;East_Murman;DZ;M-18;10;1
2003;East_Murman;DZ;M-19;10;0
2003;East_Murman;DZ;III;10;1
2003;East_Murman;DZ;M-13;10;1
2003;East_Murman;DZ;M-14;10;0
2003;East_Murman;DZ;M-15;10;1
2003;East_Murman;DZ;M-16;10;1
2003;East_Murman;DZ;IV;10;1
2003;East_Murman;DZ;M-23;10;0
2003;East_Murman;DZ;M-24;10;0
2003;East_Murman;DZ;M-25;10;1
2003;East_Murman;DZ;VII;10;0
2003;East_Murman;DZ;M-20;10;1
2003;East_Murman;DZ;M-21;10;0
2003;East_Murman;DZ;M-22;10;0
2003;East_Murman;DZ;I;10;1
2003;East_Murman;DZ;M-9;10;0
2003;East_Murman;DZ;M-10;10;3
2003;East_Murman;DZ;M-11;10;0
2003;East_Murman;DZ;VIII;10;0
2003;East_Murman;DZ;M-6;10;0
2003;East_Murman;DZ;M-7;10;0
2003;East_Murman;DZ;M-8;10;2
2004;East_Murman;DZ;II;10;0
2004;East_Murman;DZ;M-1;10;0
2004;East_Murman;DZ;M-2;10;0
2004;East_Murman;DZ;M-3;10;0
2004;East_Murman;DZ;M-4;10;0
2004;East_Murman;DZ;M-5;10;0
2004;East_Murman;DZ;VI;10;NA
2004;East_Murman;DZ;M-17;10;0
2004;East_Murman;DZ;M-18;10;2
2004;East_Murman;DZ;M-19;10;1
2004;East_Murman;DZ;III;10;1
2004;East_Murman;DZ;M-13;10;1
2004;East_Murman;DZ;M-14;10;0
2004;East_Murman;DZ;M-15;10;0
2004;East_Murman;DZ;M-16;10;1
2004;East_Murman;DZ;IV;10;NA
2004;East_Murman;DZ;M-23;10;3
2004;East_Murman;DZ;M-24;10;0
2004;East_Murman;DZ;M-25;10;0
2004;East_Murman;DZ;VII;10;NA
2004;East_Murman;DZ;M-20;10;0
2004;East_Murman;DZ;M-21;10;0
2004;East_Murman;DZ;M-22;10;1
2004;East_Murman;DZ;I;10;1
2004;East_Murman;DZ;M-9;10;0
2004;East_Murman;DZ;M-10;10;1
2004;East_Murman;DZ;M-11;10;1
2004;East_Murman;DZ;VIII;10;NA
2004;East_Murman;DZ;M-6;10;0
2004;East_Murman;DZ;M-7;10;0
2004;East_Murman;DZ;M-8;10;2
2005;East_Murman;DZ;II;10;0
2005;East_Murman;DZ;M-1;10;0
2005;East_Murman;DZ;M-2;10;0
2005;East_Murman;DZ;M-3;10;0
2005;East_Murman;DZ;M-4;10;0
2005;East_Murman;DZ;M-5;10;0
2005;East_Murman;DZ;VI;10;NA
2005;East_Murman;DZ;M-17;10;0
2005;East_Murman;DZ;M-18;10;0
2005;East_Murman;DZ;M-19;10;1
2005;East_Murman;DZ;III;10;1
2005;East_Murman;DZ;M-13;10;0
2005;East_Murman;DZ;M-14;10;1
2005;East_Murman;DZ;M-15;10;1
2005;East_Murman;DZ;M-16;10;1
2005;East_Murman;DZ;IV;10;NA
2005;East_Murman;DZ;M-23;10;0
2005;East_Murman;DZ;M-24;10;0
2005;East_Murman;DZ;M-25;10;0
2005;East_Murman;DZ;VII;10;NA
2005;East_Murman;DZ;M-20;10;0
2005;East_Murman;DZ;M-21;10;1
2005;East_Murman;DZ;M-22;10;0
2005;East_Murman;DZ;I;10;0
2005;East_Murman;DZ;M-9;10;0
2005;East_Murman;DZ;M-10;10;0
2005;East_Murman;DZ;M-11;10;0
2005;East_Murman;DZ;VIII;10;NA
2005;East_Murman;DZ;M-6;10;0
2005;East_Murman;DZ;M-7;10;0
2005;East_Murman;DZ;M-8;10;0
2006;East_Murman;DZ;II;10;0
2006;East_Murman;DZ;M-1;10;0
2006;East_Murman;DZ;M-2;10;0
2006;East_Murman;DZ;M-3;10;0
2006;East_Murman;DZ;M-4;10;0
2006;East_Murman;DZ;M-5;10;0
2006;East_Murman;DZ;VI;10;NA
2006;East_Murman;DZ;M-17;10;1
2006;East_Murman;DZ;M-18;10;3
2006;East_Murman;DZ;M-19;10;3
2006;East_Murman;DZ;III;10;2
2006;East_Murman;DZ;M-13;10;2
2006;East_Murman;DZ;M-14;10;3
2006;East_Murman;DZ;M-15;10;3
2006;East_Murman;DZ;M-16;10;3
2006;East_Murman;DZ;IV;10;NA
2006;East_Murman;DZ;M-23;10;1
2006;East_Murman;DZ;M-24;10;1
2006;East_Murman;DZ;M-25;10;1
2006;East_Murman;DZ;VII;10;NA
2006;East_Murman;DZ;M-20;10;0
2006;East_Murman;DZ;M-21;10;0
2006;East_Murman;DZ;M-22;10;0
2006;East_Murman;DZ;I;10;0
2006;East_Murman;DZ;M-9;10;0
2006;East_Murman;DZ;M-10;10;0
2006;East_Murman;DZ;M-11;10;0
2006;East_Murman;DZ;VIII;10;NA
2006;East_Murman;DZ;M-6;10;0
2006;East_Murman;DZ;M-7;10;0
2006;East_Murman;DZ;M-8;10;0
2004;East_Murman;Yarnyshnaya;Ya101;10;0
2004;East_Murman;Yarnyshnaya;Ya102;10;0
2004;East_Murman;Yarnyshnaya;Ya103;10;0
2004;East_Murman;Yarnyshnaya;Ya104;10;1
2004;East_Murman;Yarnyshnaya;Ya105;10;0
2004;East_Murman;Yarnyshnaya;Ya106;10;0
2004;East_Murman;Yarnyshnaya;Ya107;10;0
2004;East_Murman;Yarnyshnaya;Ya108;10;0
2004;East_Murman;Yarnyshnaya;Ya109;10;0
2004;East_Murman;Yarnyshnaya;Ya110;10;1
2004;East_Murman;Yarnyshnaya;Ya201;10;0
2004;East_Murman;Yarnyshnaya;Ya202;10;0
2004;East_Murman;Yarnyshnaya;Ya203;10;2
2004;East_Murman;Yarnyshnaya;Ya204;10;0
2004;East_Murman;Yarnyshnaya;Ya205;10;1
2004;East_Murman;Yarnyshnaya;Ya206;10;2
2004;East_Murman;Yarnyshnaya;Ya207;10;1
2004;East_Murman;Yarnyshnaya;Ya208;10;1
2004;East_Murman;Yarnyshnaya;Ya209;10;1
2004;East_Murman;Yarnyshnaya;Ya210;10;1
2004;East_Murman;Yarnyshnaya;Ya301;10;0
2004;East_Murman;Yarnyshnaya;Ya302;10;1
2004;East_Murman;Yarnyshnaya;Ya303;10;3
2004;East_Murman;Yarnyshnaya;Ya304;10;1
2004;East_Murman;Yarnyshnaya;Ya305;10;1
2004;East_Murman;Yarnyshnaya;Ya306;10;2
2004;East_Murman;Yarnyshnaya;Ya307;10;2
2004;East_Murman;Yarnyshnaya;Ya308;10;1
2004;East_Murman;Yarnyshnaya;Ya309;10;0
2004;East_Murman;Yarnyshnaya;Ya310;10;1
2005;East_Murman;Yarnyshnaya;Ya01;10;10
2005;East_Murman;Yarnyshnaya;Ya02;10;0
2005;East_Murman;Yarnyshnaya;Ya03;10;0
2005;East_Murman;Yarnyshnaya;Ya04;10;0
2005;East_Murman;Yarnyshnaya;Ya05;10;0
2005;East_Murman;Yarnyshnaya;Ya06;10;0
2005;East_Murman;Yarnyshnaya;Ya07;10;0
2005;East_Murman;Yarnyshnaya;Ya08;10;0
2005;East_Murman;Yarnyshnaya;Ya09;10;0
2005;East_Murman;Yarnyshnaya;Ya10;10;0
2005;East_Murman;Shelpino;Sh01;10;0
2005;East_Murman;Shelpino;Sh02;10;0
2005;East_Murman;Shelpino;Sh03;10;0
2005;East_Murman;Shelpino;Sh04;10;0
2005;East_Murman;Shelpino;Sh05;10;0
2005;East_Murman;Shelpino;Sh06;10;0
2005;East_Murman;Shelpino;Sh07;10;0
2005;East_Murman;Shelpino;Sh08;10;0
2005;East_Murman;Shelpino;Sh09;10;1
2005;East_Murman;Shelpino;Sh10;10;0
2006;Kola_bay;Pala;Pala01;22;0
2006;Kola_bay;Pala;Pala02;22;4
2006;Kola_bay;Pala;Pala03;22;2
2006;Kola_bay;Pala;Pala04;22;3
2006;Kola_bay;Pala;Pala05;22;8
2006;Kola_bay;Pala;Pala06;22;5
2006;Kola_bay;Pala;Pala07;22;3
2006;Kola_bay;Pala;Pala08;22;2
2006;Kola_bay;Pala;Pala09;22;0
2006;Kola_bay;Pala;Pala10;22;3
2006;East_Murman;DZ;DZ11;4;3
2006;East_Murman;DZ;DZ12;4;0
2006;East_Murman;DZ;DZ13;4;1
