Sea;Site;Lattitude;Longitude;Macoma;cockle
Morocco, Atlantic;Merja Zerga;34,86;-6,27;NA;638
Biscay Bay;Arcachon;44,67;-1,13;NA;147
Biscay Bay;Gironde;45,55;-1,05;500;NA
La Manche;St John s Lake;50,37;-4,21;36;NA
La Manche;Plym estuary;50,38;-4,10;NA;64
La Manche;Lynher estuary;50,38;-4,30;48,7;19
La Manche;river Exe;50,63;-3,43;24;NA
Irish;Burry Inlet;51,66;-4,17;NA;621
North;Wash;52,83;0,33;NA;50
North;Wash;52,85;0,42;693,4523809524;NA
Wadden;between Den Helder and Delfzijl;52,93;4,83;113;34
Irish;Traeth Melynog;53,14;-4,33;NA;100
Irish;river Clwyd;53,31;-3,51;74;NA
Wadden;Terschelling;53,38;5,35;NA;9
Wadden;Terschelling;53,38;5,35;NA;14
Wadden;Terschelling;53,38;5,35;NA;367
Wadden;Friesland ;53,42;6,07;250;NA
Baltic;South-West Baltic Sea;54,61;20,00;650;NA
Baltic;Kaliningrad bay;54,61;20,00;460;NA
Wadden;Konigshafen of Sylt ;55,04;8,40;81;78
North;Ho Bay;55,49;8,40;254;NA
Wadden;Skallingen;55,51;8,26;NA;2497
Wadden;Skallingen;55,51;8,26;NA;18
Wadden;Skallingen;55,52;8,29;241;NA
North;Budle Bay;55,62;-1,76;122;37
North;Forth Estuary;56,00;-3,52;NA;31,1
North;Black Middens;56,01;-2,59;21,4;NA
North;Aberlady bay;56,01;-2,86;200;NA
North;Ythan river estuary;57,30;-1,90;687;NA
Baltic;Finskiy Gulf Koporskaya Luzhskaya bays;59,71;28,31;NA;NA
Baltic;Tvarminne;59,83;23,17;855;NA
Baltic;Tvarminne;59,83;23,17;715;NA
Baltic;Tvarminne;59,83;23,17;590;NA
Baltic;Tvarminne;59,83;23,17;321;NA
Baltic;Aland Islands;60,17;20,53;850;NA
Baltic;Aland Islands;60,38;19,64;1360;NA
Norway;Skjellvika, Oydegard ;63,01;8,00;121;39
Norwegian;Borgenfjord Sund;63,86;11,31;109;7
Norwegian;Borgenfjord Lorvikleiret;63,88;11,37;64;276
Norwegian;Borgenfjord Korsen;63,95;11,38;207;14
White;Dolgaya bay Solovki;65,06;35,75;1556;NA
Norwegian;Lakselvvatn;65,91;13,10;77;NA
White;Podpahta ;66,30;33,62;530;NA
White;Lisya bay;66,31;33,57;1728;NA
White;Suhaya salma Keret island;66,31;33,65;1096;NA
White;Klyushiha bay Keret island;66,31;33,78;647,3;NA
White;Seldyanaya inlet;66,34;33,62;669;NA
White;Kruglaya bay Kartesh;66,34;33,64;545;NA
White;Medvezhya inlet;66,35;33,60;618;NA
White;Podvoloche bay;66,52;33,20;NA;NA
White;Ermolinskaya bay;66,55;33,05;NA;NA
White;WSBS MSU;66,55;33,10;NA;NA
White;Lobanikha bay Velikiy island;66,56;33,20;NA;NA
White;Pekkelinskaya bay;66,59;32,96;NA;NA
White;Lomnishniy island;66,98;32,62;712,5;NA
White;West Ryashkov salma Ryashkov island;67,01;32,54;1811;NA
White;South bay Ryashkov island;67,01;32,57;1082;NA
White;Fukusovaya bay Ryashkov;67,01;32,58;285;NA
White;Goreliy island Luvenga;67,09;32,68;1079;NA
White;Estuary Luvenga river;67,10;32,69;1449;NA
White;Luvenga;67,10;32,71;1504;NA
Barents;Ivanovskaya bay;68,29;38,71;1208;NA
Pechora bay;Pechora bay;68,59;55,22;654;NA
Barents;Nagornoe;68,90;33,06;390;NA
Barents;Cape Abram;68,98;33,03;1898;NA
Barents;Tryashina;68,99;36,51;NA;9
Barents;Porchnikha bay;69,08;36,25;73,5;10
Barents;Porchnikha bay;69,08;36,25;NA;12
Barents;Yarnyshnaya bay;69,09;36,05;281,3;10
Barents;Yarnyshnaya bay;69,09;36,05;NA;8
Barents;Shelpino bay;69,10;36,21;45;NA
Barents;Retinskoe;69,11;33,38;660;NA
Barents;Dalnezeleneckaya bay;69,11;36,10;44,78;NA
Barents;Gavrilovo bay;69,17;35,86;81;NA
Barents;Pala bay;69,19;33,37;1058;27
Barents;Pala bay;69,19;33,37;NA;66
Barents;Ura bay;69,32;32,82;1267;282
Barents;Pechenga bay;69,58;31,27;767;NA
Norway;Tromso;69,64;18,87;890;107
