sea;latitude;longitude;location;year studied or published;ind./sq.m.;source;region
Barents Sea;69,086;36,052;Yarnishnaya;2004;8;Genelt-Yanovskiy et al., 2010;East Murman
Barents Sea;69,101;36,206;Shelpino;2005;1;Genelt-Yanovskiy et al., 2010;East Murman
Barents Sea;69,081;36,254;Porchnikha;2005;12;Genelt-Yanovskiy et al., 2010;East Murman
Barents Sea;69,189;33,366;Pala;2006;66;Genelt-Yanovskiy et al., 2010;Kola bay
English Channel;50,379;-4,101;Plym estuary;2011;64;Romano et al., 2011;Plym estuary
Scotland East coast;56,002;-3,516;Forth Estuary;1998;31,1;Huxham, Richards, 2008;Forth Estuary
Wadden Sea;55,505;8,263;Skallingen;1984;2496,75;Jensen, 1993;Skallingen
Wadden Sea;55,505;8,263;Skallingen;1989;17,7;Jensen, 1993;Skallingen
Irish Sea;53,144;-4,333;Traeth Melynog;1986;100;Sanchez-Salazar et al., 1987;Traeth Melynog
Irish Sea;51,66;-4,173;Burry Inlet;;621;Ferns et al., 2000;Burry Inlet
Wadden Sea;53,375;5,353;Terschelling;1971;9;Beukema, 1989;Terschelling
Wadden Sea;53,375;5,353;Terschelling;1977;14;Beukema, 1989;Terschelling
Wadden Sea;53,375;5,353;Terschelling;1987;367;Beukema, 1989;Terschelling
Morocco, Atlantic;34,859;-6,272;Merja Zerga;2005-2007;638;Gam et al., 2010;Merja Zerga
Biscay Bay;44,666;-1,134;Arcachon;2005-2007;147;Gam et al., 2010;Arcachon
England East coast;52,829;0,325;Wash;2000;50;Dare et al., 2004;Wash
Wadden sea;52,93;4,83;between Den Helder and Delfzijl;;34;Beukema_1976;between Den Helder and Delfzijl
Norway;69,64;18,87;Tromso;;107;Oug_2001;Tromso
Norway;63,01;8;Skjellvika, Oydegard;;39;Sneli_1969;Skjellvika, Oydegard
Wadden;55,04;8,4;Konigshafen of Sylt;;78;Reise_et_al_1994;Konigshafen of Sylt
Wadden;53,42;6,07;Friesland;;800;Zwarts_Wanink_1993;Friesland
North;55,615;-1,763;Budle Bay;;37;Brady_1943;Northumberland coast UK
Norwegian;63,946;11,38;Borgenfjord, Korsen;;14;Stremgren_et_al_1973;Borgenfjord
Norwegian;63,885;11,371;Borgenfjord, Lorvikleiret;;276;Stremgren_et_al_1973;Borgenfjord
Norwegian;63,856;11,308;Borgenfjord, Sund;;7;Stremgren_et_al_1973;Borgenfjord
La Manche;50,38;-4,3;Lynher estuary;;19;Warwick_Price_1975;La Manche
Barents;69,189;33,366;Pala;;27;our data;Kola bay
Barents;69,086;36,052;Yarnyshnaya;;7;our data;East Murman
Barents;69,11;36,099;Dalnezelenetskaya;;7;our data;East Murman
Barents;69,101;36,206;Shelpino;;2;our data;East Murman
Barents;69,081;36,254;Porchnikha;;10;our data;East Murman
Barents;68,992147;36,513017;Tryashina;;9;our data;East Murman
Barents;69,32;32,82;Ura;;282,00;our data;West Murman
