number_cockle;square;X_sm;Y_sm
1;1;1200;125
2;2;730;60
3;2;730;80
4;2;705;115
5;3;344;205
6;3;374;197
7;3;395;149
8;3;350;95
9;3;355;95
10;3;385;90
11;3;580;245
12;3;420;140
13;3;455;120
14;3;570;100
15;3;475;70
16;4;280;250
17;4;65;190
18;4;25;165
19;4;20;190
20;4;20;60
21;4;20;45
22;4;60;80
23;4;75;65
24;4;205;60
25;5;1170;360
26;5;1160;390
27;5;1120;405
28;5;1070;430
29;5;1020;470
30;5;985;410
31;5;965;465
32;5;940;470
33;5;900;470
34;6;860;400
35;6;810;365
36;6;765;395
37;6;720;455
38;6;770;495
39;7;315;405
40;7;320;405
41;7;515;465
42;8;258;320
43;8;216;320
44;8;295;334
45;8;210;330
46;8;140;325
47;8;415;430
48;8;10;325
49;8;30;490
50;8;65;340
51;8;48;318
52;8;30;380
53;9;940;490
54;9;945;715
55;9;942;750
56;9;1080;655
57;9;1050;658
58;9;1159;735
59;10;625;605
60;10;640;605
61;10;860;500
62;10;650;625
63;10;835;590
64;10;850;610
65;10;890;605
66;10;870;610
67;10;838;615
68;10;862;695
69;10;730;705
70;10;890;710
71;10;730;595
72;11;300;660
73;11;445;660
74;11;465;620
75;11;570;685
76;11;600;719
77;11;590;721
78;11;584;665
79;12;30;530
80;12;10;650
81;12;120;610
82;12;80;575
83;12;55;500
84;12;245;680
85;12;53;590
86;12;278;725
