"site";"lat";"long";"code"
"Pechenga bay";69,571117;31,232108;"PG"
"Ura-bay";69,297736;32,844556;"UR"
"Pala-bay";69,188819;33,365838;"PL"
"Retinskoe";69,112725;33,379892;"RT"
"Cape Abram";68,981553;33,027808;"AB"
"Nagornoe";68,911863;33,063682;"NG"
"Tyuva bay";69,182571;33,624678;"TU"
"Bolshaya Volokovaya bay";69,266415;33,613563;"BV"
"Klimkovka bay";69,197488;34,915117;"KL"
"Dolgaya bay";69,170803;34,926693;"DO"
"Gavrilovo bay";69,177191;35,85312;"GV"
"Yarnyshnaya bay";69,085893;36,046603;"YA"
"Dalne-Zeleneckaya bay";69,110452;36,098273;"DZ"
"Shelpino bay";69,098574;36,208136;"SH"
"Porchnikha bay";69,078033;36,255901;"PR"
"Tryashina";68,994499;36,518049;"TR"
"Drozdovka bay";68,300791;38,43614;"DR"
"Ivanovskaya bay";68,253521;38,767103;"IV"
"Gremikha bay";68,028587;39,850343;"GR"
