"site";"year";"sample";"species";"Length.mm";"Age.y";"code"
"Abram";2008;"МА1";"Macoma balthica";2;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,5;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,7;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,5;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2,2;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2,3;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,6;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,8;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2,5;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2,2;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";"NA";1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,5;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,6;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,7;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,7;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,8;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,7;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";1,6;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2,5;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2,3;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";"NA";1;"AB"
"Abram";2008;"МА1";"Macoma balthica";2;1;"AB"
"Abram";2008;"МА1";"Macoma balthica";"NA";1;"AB"
"Abram";2008;"МА1";"Macoma balthica";3,4;2;"AB"
"Abram";2008;"МА1";"Macoma balthica";3,9;3;"AB"
"Abram";2008;"МА1";"Macoma balthica";4,6;3;"AB"
"Abram";2008;"МА1";"Macoma balthica";4,2;3;"AB"
"Abram";2008;"МА1";"Macoma balthica";5;3;"AB"
"Abram";2008;"МА1";"Macoma balthica";5;3;"AB"
"Abram";2008;"МА1";"Macoma balthica";5,3;4;"AB"
"Abram";2008;"МА1";"Macoma balthica";4,2;3;"AB"
"Abram";2008;"МА1";"Macoma balthica";5,2;4;"AB"
"Abram";2008;"МА1";"Macoma balthica";5,1;3;"AB"
"Abram";2008;"МА1";"Macoma balthica";7,2;5;"AB"
"Abram";2008;"МА1";"Macoma balthica";6,5;4;"AB"
"Abram";2008;"МА1";"Macoma balthica";8,1;6;"AB"
"Abram";2008;"МА1";"Macoma balthica";7,6;5;"AB"
"Abram";2008;"МА1";"Macoma balthica";8,2;6;"AB"
"Abram";2008;"МА1";"Macoma balthica";9,3;7;"AB"
"Abram";2008;"МА1";"Macoma balthica";8,7;7;"AB"
"Abram";2008;"МА1";"Macoma balthica";8,5;6;"AB"
"Abram";2008;"МА1";"Macoma balthica";9,8;8;"AB"
"Abram";2008;"МА1";"Macoma balthica";11;8;"AB"
"Abram";2008;"МА1";"Macoma balthica";9,2;7;"AB"
"Abram";2008;"МА1";"Macoma balthica";10,2;9;"AB"
"Abram";2008;"МА1";"Macoma balthica";9,8;9;"AB"
"Abram";2008;"МА1";"Macoma balthica";12;9;"AB"
"Abram";2008;"МА1";"Macoma balthica";12,1;8;"AB"
"Abram";2008;"МА1";"Macoma balthica";12,2;9;"AB"
"Abram";2008;"МА1";"Macoma balthica";11,2;10;"AB"
"Abram";2008;"МА1";"Macoma balthica";13;11;"AB"
"Abram";2008;"МА1";"Macoma balthica";9,5;8;"AB"
"Abram";2008;"МА1";"Macoma balthica";10,3;9;"AB"
"Abram";2008;"МА1";"Macoma balthica";12,9;"NA";"AB"
"Abram";2008;"МА1";"Macoma balthica";12,6;11;"AB"
"Abram";2008;"МА1";"Macoma balthica";11,3;11;"AB"
"Abram";2008;"МА1";"Macoma balthica";15;"NA";"AB"
"Abram";2008;"МА1";"Macoma balthica";14,1;11;"AB"
"Abram";2008;"МА1";"Macoma balthica";12,2;10;"AB"
"Abram";2008;"МА1";"Macoma balthica";11,4;10;"AB"
"Abram";2008;"МА1";"Macoma balthica";11,5;7;"AB"
"Abram";2008;"МА1";"Macoma balthica";14,5;13;"AB"
"Abram";2008;"МА1";"Macoma balthica";12,8;10;"AB"
"Abram";2008;"МА1";"Macoma balthica";12;11;"AB"
"Abram";2008;"МА1";"Macoma balthica";13,6;"NA";"AB"
"Abram";2008;"МА1";"Macoma balthica";12,6;10;"AB"
"Abram";2008;"МА1";"Macoma balthica";13,6;10;"AB"
"Abram";2008;"МА1";"Macoma balthica";12,9;"NA";"AB"
"Abram";2008;"МА1";"Macoma balthica";12,1;12;"AB"
"Abram";2008;"МА1";"Macoma balthica";13,8;"NA";"AB"
"Abram";2008;"МА1";"Macoma balthica";11,5;10;"AB"
"Abram";2008;"МА1";"Macoma balthica";13,1;"NA";"AB"
"Abram";2008;"МА1";"Macoma balthica";12,3;8;"AB"
"Abram";2008;"МА1";"Macoma balthica";11;"NA";"AB"
"Abram";2008;"МА1";"Macoma balthica";12,9;"NA";"AB"
"Abram";2008;"МА1";"Macoma balthica";11,9;9;"AB"
"Abram";2008;"МА1";"Macoma balthica";13,7;"NA";"AB"
"Abram";2008;"МА1";"Macoma balthica";"NA";1;"AB"
"Abram";2008;"МА1";"Macoma balthica";12;"NA";"AB"
"Abram";2008;"МА1";"Macoma balthica";13;11;"AB"
"Abram";2008;"МА1";"Macoma balthica";13,2;"NA";"AB"
"Abram";2008;"МА10";"Macoma balthica";5,3;4;"AB"
"Abram";2008;"МА10";"Macoma balthica";1,6;1;"AB"
"Abram";2008;"МА10";"Macoma balthica";2,5;2;"AB"
"Abram";2008;"МА10";"Macoma balthica";6,2;5;"AB"
"Abram";2008;"МА10";"Macoma balthica";6,6;6;"AB"
"Abram";2008;"МА10";"Macoma balthica";7,1;"5 (6?)";"AB"
"Abram";2008;"МА10";"Macoma balthica";8,5;"5 (6?)";"AB"
"Abram";2008;"МА10";"Macoma balthica";7,8;"6 (7?)";"AB"
"Abram";2008;"МА10";"Macoma balthica";8,1;7;"AB"
"Abram";2008;"МА10";"Macoma balthica";8,7;7;"AB"
"Abram";2008;"МА10";"Macoma balthica";7,5;7;"AB"
"Abram";2008;"МА10";"Macoma balthica";8,8;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";9,4;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";9;7;"AB"
"Abram";2008;"МА10";"Macoma balthica";8,5;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";10,2;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";11,1;10;"AB"
"Abram";2008;"МА10";"Macoma balthica";9,7;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";10,4;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";10;9;"AB"
"Abram";2008;"МА10";"Macoma balthica";10,2;10;"AB"
"Abram";2008;"МА10";"Macoma balthica";9,6;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";10;9;"AB"
"Abram";2008;"МА10";"Macoma balthica";10;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";9,5;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";7,1;7;"AB"
"Abram";2008;"МА10";"Macoma balthica";9,3;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";12;10;"AB"
"Abram";2008;"МА10";"Macoma balthica";9,5;9;"AB"
"Abram";2008;"МА10";"Macoma balthica";10,5;9;"AB"
"Abram";2008;"МА10";"Macoma balthica";10,6;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";10,5;9;"AB"
"Abram";2008;"МА10";"Macoma balthica";14,5;11;"AB"
"Abram";2008;"МА10";"Macoma balthica";10;10;"AB"
"Abram";2008;"МА10";"Macoma balthica";12;10;"AB"
"Abram";2008;"МА10";"Macoma balthica";12,7;9;"AB"
"Abram";2008;"МА10";"Macoma balthica";11,2;10;"AB"
"Abram";2008;"МА10";"Macoma balthica";12,8;10;"AB"
"Abram";2008;"МА10";"Macoma balthica";12,7;11;"AB"
"Abram";2008;"МА10";"Macoma balthica";12,5;11;"AB"
"Abram";2008;"МА10";"Macoma balthica";10,8;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";11,8;8;"AB"
"Abram";2008;"МА10";"Macoma balthica";8,4;7;"AB"
"Abram";2008;"МА10";"Macoma balthica";10,5;9;"AB"
"Abram";2008;"МА10";"Macoma balthica";10,5;10;"AB"
"Abram";2008;"МА10";"Macoma balthica";12;10;"AB"
"Abram";2008;"МА10";"Macoma balthica";12,2;9;"AB"
"Abram";2008;"МА10";"Macoma balthica";10,4;7;"AB"
"Abram";2008;"МА10";"Macoma balthica";12,7;11;"AB"
"Abram";2008;"МА10";"Macoma balthica";11;"NA";"AB"
"Abram";2008;"МА10";"Macoma balthica";12,4;11;"AB"
"Abram";2008;"МА10";"Macoma balthica";14,9;"NA";"AB"
"Abram";2008;"МА10";"Macoma balthica";12,3;9;"AB"
"Abram";2008;"МА10";"Macoma balthica";11,8;11;"AB"
"Abram";2008;"МА10";"Macoma balthica";11,8;10;"AB"
"Abram";2008;"МА 6";"Macoma balthica";4,5;3;"AB"
"Abram";2008;"МА 6";"Macoma balthica";7,5;5;"AB"
"Abram";2008;"МА 6";"Macoma balthica";7,2;6;"AB"
