site;year;Nt1.sqmeter;Nt.sqmeter;wint_temp_t1;summ_temp_t;wint_temp_t1_chupa;summ_temp_t_chupa
Estuary;1992;55;NA;-6,7333333333;12,5333333333;-1;12,5333333333
Estuary;1993;201,6666666667;55;-9,2666666667;11,3666666667;NA;10,0333333333
Estuary;1994;776,6666666667;201,6666666667;-10,4;12,0333333333;NA;13,2333333333
Estuary;1995;473,3333333333;776,6666666667;-10,1333333333;12,6333333333;-1;12,9875
Estuary;1996;336,6666666667;473,3333333333;-10,2666666667;12,2;-1,1;10,85
Estuary;1997;213,3333333333;336,6666666667;-11,3;11,7;NA;10,89
Estuary;1998;750;213,3333333333;-14,6666666667;13,3333333333;-1,1;13,06
Estuary;1999;2073,3333333333;750;-13,3666666667;12,4;-1,1;12,0222222222
Estuary;2000;1913,3333333333;2073,3333333333;-9,6;12,9;1;12,12
Estuary;2001;2606,6666666667;1913,3333333333;-9,8;13,6666666667;-1,4;14,1444444444
Estuary;2002;1916,6666666667;2606,6666666667;-11,5666666667;13,5;-1,35;11,8222222222
Estuary;2003;2220;1916,6666666667;-11,1666666667;13,2333333333;0;12,19
Estuary;2004;3330;2220;-10;13,1666666667;-1;14,125
Estuary;2005;1623,3333333333;3330;-8,4333333333;13,3333333333;1,8;14,0555555556
Estuary;2006;993,3333333333;1623,3333333333;-9,6;14,3666666667;0,1;13,46
Estuary;2007;2546,6666666667;993,3333333333;-10,5333333333;13,6;0,7;12,0777777778
Estuary;2008;1683,3333333333;2546,6666666667;-6,8;13,3;0,8;13,4888888889
Estuary;2009;1860;1683,3333333333;-10,3333333333;12;0,4;12,275
Estuary;2010;2056,6666666667;1860;-14,2333333333;12,8;-0,85;11,8
Estuary;2011;1636,6666666667;2056,6666666667;-10,8666666667;13;NA;11,8571428571
Estuary;2012;1170;1636,6666666667;-13,6;14,1;NA;NA
razrez2;1992;251,25;NA;-6,7333333333;12,5333333333;-1;12,5333333333
razrez2;1993;376,5;251,25;-9,2666666667;11,3666666667;NA;10,0333333333
razrez2;1994;745,2631578947;376,5;-10,4;12,0333333333;NA;13,2333333333
razrez2;1995;879,4736842105;745,2631578947;-10,1333333333;12,6333333333;-1;12,9875
razrez2;1996;760,5;879,4736842105;-10,2666666667;12,2;-1,1;10,85
razrez2;1997;748,5;760,5;-11,3;11,7;NA;10,89
razrez2;1998;2152,5;748,5;-14,6666666667;13,3333333333;-1,1;13,06
razrez2;1999;3558;2152,5;-13,3666666667;12,4;-1,1;12,0222222222
razrez2;2000;2480;3558;-9,6;12,9;1;12,12
Goreliy;1992;74,375;NA;-6,7333333333;12,5333333333;-1;12,5333333333
Goreliy;1993;222,3076923077;74,375;-9,2666666667;11,3666666667;NA;10,0333333333
Goreliy;1994;1197,5;222,3076923077;-10,4;12,0333333333;NA;13,2333333333
Goreliy;1995;942,5;1197,5;-10,1333333333;12,6333333333;-1;12,9875
Goreliy;1996;647,5;942,5;-10,2666666667;12,2;-1,1;10,85
Goreliy;1997;325;647,5;-11,3;11,7;NA;10,89
Goreliy;1998;1692,5;325;-14,6666666667;13,3333333333;-1,1;13,06
Goreliy;1999;4752,5;1692,5;-13,3666666667;12,4;-1,1;12,0222222222
Goreliy;2000;3242,5;4752,5;-9,6;12,9;1;12,12
Goreliy;2001;2410;3242,5;-9,8;13,6666666667;-1,4;14,1444444444
Goreliy;2002;1560;2410;-11,5666666667;13,5;-1,35;11,8222222222
Goreliy;2003;2117,5;1560;-11,1666666667;13,2333333333;0;12,19
Goreliy;2004;1725;2117,5;-10;13,1666666667;-1;14,125
Goreliy;2005;1882,5;1725;-8,4333333333;13,3333333333;1,8;14,0555555556
Goreliy;2006;1380;1882,5;-9,6;14,3666666667;0,1;13,46
Goreliy;2007;1282,5;1380;-10,5333333333;13,6;0,7;12,0777777778
Goreliy;2008;1402,5;1282,5;-6,8;13,3;0,8;13,4888888889
Goreliy;2009;1100;1402,5;-10,3333333333;12;0,4;12,275
Goreliy;2010;1015;1100;-14,2333333333;12,8;-0,85;11,8
Goreliy;2011;1475;1015;-10,8666666667;13;NA;11,8571428571
Goreliy;2012;1297,5;1475;-13,6;14,1;NA;NA
