site;Length_int;year;N_percent
Estuary;(1,2];1992;0
Estuary;(2,3];1992;0
Estuary;(3,4];1992;0
Estuary;(4,5];1992;0
Estuary;(5,6];1992;0
Estuary;(6,7];1992;3,0303030303
Estuary;(7,8];1992;6,0606060606
Estuary;(8,9];1992;15,1515151515
Estuary;(9,10];1992;12,1212121212
Estuary;(10,11];1992;9,0909090909
Estuary;(11,12];1992;12,1212121212
Estuary;(12,13];1992;15,1515151515
Estuary;(13,14];1992;9,0909090909
Estuary;(14,15];1992;6,0606060606
Estuary;(15,16];1992;9,0909090909
Estuary;(16,17];1992;3,0303030303
Estuary;(17,18];1992;0
Estuary;(18,19];1992;0
Estuary;(19,20];1992;0
Estuary;(1,2];1993;3,305785124
Estuary;(2,3];1993;20,6611570248
Estuary;(3,4];1993;38,0165289256
Estuary;(4,5];1993;16,5289256198
Estuary;(5,6];1993;6,6115702479
Estuary;(6,7];1993;0
Estuary;(7,8];1993;1,652892562
Estuary;(8,9];1993;0
Estuary;(9,10];1993;0
Estuary;(10,11];1993;0
Estuary;(11,12];1993;1,652892562
Estuary;(12,13];1993;2,479338843
Estuary;(13,14];1993;5,7851239669
Estuary;(14,15];1993;0,826446281
Estuary;(15,16];1993;0,826446281
Estuary;(16,17];1993;0,826446281
Estuary;(17,18];1993;0
Estuary;(18,19];1993;0,826446281
Estuary;(19,20];1993;0
Estuary;(1,2];1994;9,8712446352
Estuary;(2,3];1994;11,1587982833
Estuary;(3,4];1994;2,1459227468
Estuary;(4,5];1994;4,7210300429
Estuary;(5,6];1994;6,008583691
Estuary;(6,7];1994;11,1587982833
Estuary;(7,8];1994;17,1673819742
Estuary;(8,9];1994;12,8755364807
Estuary;(9,10];1994;9,8712446352
Estuary;(10,11];1994;3,8626609442
Estuary;(11,12];1994;0,4291845494
Estuary;(12,13];1994;2,5751072961
Estuary;(13,14];1994;2,1459227468
Estuary;(14,15];1994;2,5751072961
Estuary;(15,16];1994;3,4334763948
Estuary;(16,17];1994;0
Estuary;(17,18];1994;0
Estuary;(18,19];1994;0
Estuary;(19,20];1994;0
Estuary;(1,2];1995;14,7887323944
Estuary;(2,3];1995;8,4507042254
Estuary;(3,4];1995;2,1126760563
Estuary;(4,5];1995;4,2253521127
Estuary;(5,6];1995;7,7464788732
Estuary;(6,7];1995;8,4507042254
Estuary;(7,8];1995;4,9295774648
Estuary;(8,9];1995;7,0422535211
Estuary;(9,10];1995;12,676056338
Estuary;(10,11];1995;16,1971830986
Estuary;(11,12];1995;4,2253521127
Estuary;(12,13];1995;4,2253521127
Estuary;(13,14];1995;2,1126760563
Estuary;(14,15];1995;2,8169014085
Estuary;(15,16];1995;0
Estuary;(16,17];1995;0
Estuary;(17,18];1995;0
Estuary;(18,19];1995;0
Estuary;(19,20];1995;0
Estuary;(1,2];1996;0
Estuary;(2,3];1996;10,8910891089
Estuary;(3,4];1996;8,9108910891
Estuary;(4,5];1996;5,9405940594
Estuary;(5,6];1996;1,9801980198
Estuary;(6,7];1996;6,9306930693
Estuary;(7,8];1996;4,9504950495
Estuary;(8,9];1996;10,8910891089
Estuary;(9,10];1996;9,900990099
Estuary;(10,11];1996;12,8712871287
Estuary;(11,12];1996;11,8811881188
Estuary;(12,13];1996;5,9405940594
Estuary;(13,14];1996;4,9504950495
Estuary;(14,15];1996;1,9801980198
Estuary;(15,16];1996;0,9900990099
Estuary;(16,17];1996;0,9900990099
Estuary;(17,18];1996;0
Estuary;(18,19];1996;0
Estuary;(19,20];1996;0
Estuary;(1,2];1997;0
Estuary;(2,3];1997;0
Estuary;(3,4];1997;0
Estuary;(4,5];1997;1,5625
Estuary;(5,6];1997;9,375
Estuary;(6,7];1997;7,8125
Estuary;(7,8];1997;9,375
Estuary;(8,9];1997;10,9375
Estuary;(9,10];1997;6,25
Estuary;(10,11];1997;3,125
Estuary;(11,12];1997;23,4375
Estuary;(12,13];1997;18,75
Estuary;(13,14];1997;6,25
Estuary;(14,15];1997;1,5625
Estuary;(15,16];1997;1,5625
Estuary;(16,17];1997;0
Estuary;(17,18];1997;0
Estuary;(18,19];1997;0
Estuary;(19,20];1997;0
Estuary;(1,2];1998;45,3333333333
Estuary;(2,3];1998;25,3333333333
Estuary;(3,4];1998;1,7777777778
Estuary;(4,5];1998;0,8888888889
Estuary;(5,6];1998;0,8888888889
Estuary;(6,7];1998;1,3333333333
Estuary;(7,8];1998;0,4444444444
Estuary;(8,9];1998;0,8888888889
Estuary;(9,10];1998;1,3333333333
Estuary;(10,11];1998;4,8888888889
Estuary;(11,12];1998;4,8888888889
Estuary;(12,13];1998;4
Estuary;(13,14];1998;3,5555555556
Estuary;(14,15];1998;1,7777777778
Estuary;(15,16];1998;0,8888888889
Estuary;(16,17];1998;1,7777777778
Estuary;(17,18];1998;0
Estuary;(18,19];1998;0
Estuary;(19,20];1998;0
Estuary;(1,2];1999;32,7974276527
Estuary;(2,3];1999;50,9646302251
Estuary;(3,4];1999;7,0739549839
Estuary;(4,5];1999;3,3762057878
Estuary;(5,6];1999;2,4115755627
Estuary;(6,7];1999;1,2861736334
Estuary;(7,8];1999;0,3215434084
Estuary;(8,9];1999;0,1607717042
Estuary;(9,10];1999;0,3215434084
Estuary;(10,11];1999;0
Estuary;(11,12];1999;0,3215434084
Estuary;(12,13];1999;0,1607717042
Estuary;(13,14];1999;0,3215434084
Estuary;(14,15];1999;0,3215434084
Estuary;(15,16];1999;0,1607717042
Estuary;(16,17];1999;0
Estuary;(17,18];1999;0
Estuary;(18,19];1999;0
Estuary;(19,20];1999;0
Estuary;(1,2];2000;4,7038327526
Estuary;(2,3];2000;11,8466898955
Estuary;(3,4];2000;27,0034843206
Estuary;(4,5];2000;27,8745644599
Estuary;(5,6];2000;13,93728223
Estuary;(6,7];2000;4,0069686411
Estuary;(7,8];2000;4,5296167247
Estuary;(8,9];2000;1,9163763066
Estuary;(9,10];2000;1,5679442509
Estuary;(10,11];2000;0
Estuary;(11,12];2000;0
Estuary;(12,13];2000;1,0452961672
Estuary;(13,14];2000;0,6968641115
Estuary;(14,15];2000;0,3484320557
Estuary;(15,16];2000;0,1742160279
Estuary;(16,17];2000;0,1742160279
Estuary;(17,18];2000;0,1742160279
Estuary;(18,19];2000;0
Estuary;(19,20];2000;0
Estuary;(1,2];2001;7,2890025575
Estuary;(2,3];2001;5,3708439898
Estuary;(3,4];2001;10,2301790281
Estuary;(4,5];2001;12,1483375959
Estuary;(5,6];2001;19,1815856777
Estuary;(6,7];2001;20,4603580563
Estuary;(7,8];2001;14,0664961637
Estuary;(8,9];2001;5,8823529412
Estuary;(9,10];2001;2,557544757
Estuary;(10,11];2001;1,2787723785
Estuary;(11,12];2001;0,2557544757
Estuary;(12,13];2001;0,2557544757
Estuary;(13,14];2001;0,2557544757
Estuary;(14,15];2001;0,5115089514
Estuary;(15,16];2001;0,2557544757
Estuary;(16,17];2001;0
Estuary;(17,18];2001;0
Estuary;(18,19];2001;0
Estuary;(19,20];2001;0
Estuary;(1,2];2002;5,9130434783
Estuary;(2,3];2002;3,4782608696
Estuary;(3,4];2002;6,9565217391
Estuary;(4,5];2002;14,0869565217
Estuary;(5,6];2002;17,5652173913
Estuary;(6,7];2002;20,6956521739
