"Comp.1";"Comp.2";"Comp.3";"Comp.4";"Comp.5";"Comp.6";"Comp.7";"Comp.8";"Comp.9";"Comp.10";"Comp.11";"Comp.12";"Comp.13";"Comp.14";"Comp.15";"Comp.16";"Comp.17";"Comp.18";"Comp.19"
"(10,11]";0,083161264598231;-0,15464957050096;-0,271291643348071;-0,166825977677436;-0,341541396008437;0,619785747306168;-0,180968141640871;-0,0539480791309101;-0,175847684589794;-0,347466254339521;0,316301957642505;0,0911719989084102;0,076016004693662;0,0691637923749742;-0,0467623244803612;-0,0696847546733752;-0,00187400263483532;-0,0322271419403331;-0,229415733868421
"(11,12]";0,114699985027572;-0,106708099391541;-0,338102815300023;-0,223851105163631;0,370646832226787;-0,011364033916872;-0,222548746769638;0,457753264703918;0,298763410746973;-0,151531963525006;-0,322443732143441;0,1688343620776;-0,293236815593629;0,112396624176271;-0,0825739856397392;-0,101182000780056;-0,0367357390278951;-0,0102739297617797;-0,229415733866198
"(1,2]";-0,909890018711064;-0,239662011155393;0,160792783692283;-0,134744571786293;0,00370526209326341;-0,00412795922892324;-0,0443092071997463;0,0615313418686896;0,0314402778944119;-0,00844956358599193;-0,00652033466895729;-0,0209876651249075;0,0429707656256528;0,0218853575830763;-0,0375110850296013;-0,0776971904697579;-0,0162777850812919;-0,025745983967149;-0,229415733867804
"(12,13]";0,0852412858612115;-0,0481264856655431;-0,265787870144114;-0,210577397299461;0,397812233391238;-0,200394112339316;-0,016061967818939;-0,00691842956937446;-0,00254015570808611;0,0697406434819147;0,414307171260799;-0,539576660604819;0,370243964905254;-0,105899375418036;0,0344101434882542;-0,0396224125020864;0,00299224905846932;-0,07321267470237;-0,229415733866952
"(13,14]";0,0454160713505533;-0,00241819177856375;-0,123481277666929;-0,0852697720040477;0,1566593982448;-0,107365355477855;0,125071482971885;-0,290215942206898;-0,0961919066186792;0,0234288322419546;-0,281088190190035;0,562526018914161;0,609220411057033;-0,0118579765893185;-0,0233498100394993;-0,0862676714846315;0,0317311333005724;0,0362152203045233;-0,229415733876104
"(14,15]";0,0242775071143207;-0,00873492543661911;-0,0734764727801911;-0,0308893419114765;0,056749982013055;-0,0312287302915755;0,124494034051187;-0,334421413042696;-0,181087483111738;0,0660261757244133;-0,0372937583439818;-0,00111501017743651;-0,421550141936739;-0,580640768278622;-0,408461998884994;-0,273773556956847;-0,112106008772301;0,0326220010866384;-0,229415733869034
"(15,16]";0,0244111829465481;-0,0210335634770417;-0,0728003691849137;-0,0233773604863792;0,0708565056658956;-0,124485923054182;0,201284138419681;-0,404683401058694;-0,102050223597922;0,0837909471642908;0,0473777429214063;-0,0689134109628403;-0,301998089208517;0,754173470805014;-0,170532282298768;0,0214471694891503;0,0185148038967537;-0,0372689249907909;-0,229415733863613
"(16,17]";0,00862411488682028;0,000873373518653658;-0,0329885289466554;-0,0303084666633949;0,0185460214583055;-0,0296135194708948;0,0420632488973055;-0,174066070475565;-0,0517965290971401;0,0322929821935242;0,00364723293878802;0,081885261256759;-0,264454384401315;-0,0952248645359901;0,874272466009086;-0,182006495012002;-0,102850366696893;-0,12038350715956;-0,229415733872068
"(17,18]";0,00207191497900164;0,00425375282578456;0,000648683170142773;-0,00715056673696324;-0,00195763030053485;-0,00383087784282991;0,00435518057942384;-0,00961204734549759;-0,00846493897363743;0,0215299575796318;-0,000750050206956818;0,014547294648035;-0,126970053529462;-0,139451435152173;0,0601748897419754;0,263154225276387;0,90636460990824;0,128379000570946;-0,229415733915201
"(18,19]";0,00275273882180412;0,00585074477680613;-0,000194962423299254;-0,00875317234197031;0,000973638121125759;-0,00950003453302405;0,00226009038721628;-0,0300506731898124;-0,0163193678487957;-0,00164208156827841;-0,0346696427113188;0,0827252434559551;-0,0529805539252015;-0,154485884562904;-0,0486461160928737;0,763753538296601;-0,236144891262077;-0,519435259930127;-0,22941573383468
"(19,20]";0,000580699603373368;-0,000275976616585113;-0,00345460968255398;-0,00531851690777882;0,00128234117324868;0,00278022446321223;-0,0113963781856985;-0,0166093117059478;0,0100696996116766;-0,000719134979452295;0,024585477101079;-0,0291486318539002;-0,0272384131176839;-0,0323621620002595;0,0893106079742035;0,399655009888586;-0,305399929534312;0,82619476656769;-0,229415733898903
"(2,3]";-0,241017423100657;0,667652952108839;-0,379910797286024;0,514056368540049;-0,0595358820228059;0,053569199942665;0,0176841138333387;0,113267077785185;0,0638356502992479;-0,00697069050268907;0,0257008733820037;-0,0282477680101025;0,0438885668554996;0,0238628037002181;-0,028830291739332;-0,0739649290384339;-0,0168873330338927;-0,0266680514787933;-0,229415733867261
"(3,4]";0,0875550700019635;0,484794425887096;0,312438372335491;-0,464936460868687;-0,284277669434335;-0,256812331831337;-0,428267675006137;0,0693825968988773;-0,182726034183646;0,0460176483434196;-0,0559300571153741;-0,0348333615845082;0,020497173519513;0,0609338654815923;-0,054370763985448;-0,0899717067667171;-0,0206787049727128;-0,0209762747929418;-0,229415733869237
"(4,5]";0,10419921742932;0,203968199500733;0,381966793997633;-0,160834773493249;-0,0162571606403562;0,183359914615522;0,497011915788669;-0,0395178146477994;0,527446464943727;-0,356094531706787;-0,0428073907124823;-0,140065552597826;0,073770515469209;-0,0315837616539028;-0,023354362962892;-0,0778810717147027;-0,013169082884696;-0,0315586765918186;-0,229415733864506
"(5,6]";0,106976870736548;0,0459105989716616;0,376729423856549;0,0931722143028671;0,302436378476189;0,314198745448255;0,166727314448054;0,394943823990112;-0,239772438089889;0,427222441890367;0,303948449624169;0,248857652036795;-0,0264589685455358;0,0628029604037214;-0,0478551531165654;-0,0810614647708124;-0,0338362889365072;-0,0163811667914168;-0,22941573387303
"(6,7]";0,112850961603666;-0,138629838793675;0,282602999225502;0,376103761426445;0,188170792938954;0,215350984444058;-0,255941301966198;-0,0647494544393707;-0,284741745248443;-0,18141104890995;-0,493345058125834;-0,402754835070615;0,128535502343399;0,0453774887944129;0,0228500227887625;-0,0525818915860617;-0,00179583944388429;-0,0339748378656369;-0,229415733865387
"(7,8]";0,128583139971212;-0,217642465826522;0,220743760652994;0,390471663541348;-0,0595143237906802;-0,209898856655558;-0,453177358550474;-0,189092158835599;0,473769461919405;0,0201234907719869;0,334552863728048;0,199937146311792;0,0131751657028254;-0,00738811963561418;-0,0768685453464047;-0,0978813718087824;-0,0159868770392819;-0,0284491469378264;-0,229415733866743
"(8,9]";0,107451069873486;-0,249293154373242;-0,000719770664276087;0,200865762297302;-0,313742999614907;-0,495851431244195;0,314119186689179;0,40603927248447;-0,298836012370935;-0,346614037638382;0,085759555472911;0,0359806949314204;0,0176174624769677;0,00788160005494588;-0,0212966864529686;-0,0770656659373064;-0,021253606188122;-0,0132488537393245;-0,229415733869179
