sea;site;site_name;graviy;pesok;alevrity_pellity
Barents;Abram;Абрам-мыс;1,125424368;52,4097405687;44,1581586288
Barents;Pala;Пала-губа;0;99,0023499298;0,9976500702
Barents;Gavrilovo;Гаврилово;0,0371452329;98,41182863;0,7358867609
Barents;Yarnyshnaya;Ярнышная;3,0873586089;95,0245547119;0,9872297449
Barents;DZ;ДЗ;0,3065252637;98,2695080877;0,8161319982
Barents;Shelpino;Шельпино;30,1048448271;67,6187352692;1,6027674913
Barents;Porchnikha;Порчниха;25,6300395357;74,7801993144;1,6768878871
Barents;Ivanovskaya;Ивановская;17,2198867007;70,503380048;11,0931129855
White;Estuary;Эстуарий;0;65,06;34,94
White;Goreliy;Горелый;0,86;73,27;25,88
White;ZRS;ЗРС;19,25;70,94;9,81
White;Suhaya;Сухая;0,49;65,94;32,85
White;Klushiha;Клющиха;0,2;99,8;0
