sea;site;lat;long;code
Barents;Pechenga bay;69,571117;31,232108;1
Barents;Ura-bay;69,297736;32,844556;2
Barents;Pala-bay;69,188819;33,365838;3
Barents;Retinskoe;69,112725;33,379892;4
Barents;Cape Abram;68,981553;33,027808;5
Barents;Nagornoe;68,911863;33,063682;6
Barents;Gavrilovo bay;69,177191;35,85312;7
Barents;Yarnyshnaya bay;69,085893;36,046603;8
Barents;Dalne-Zeleneckaya bay;69,110452;36,098273;9
Barents;Shelpino bay;69,098574;36,208136;10
Barents;Porchnikha bay;69,078033;36,255901;11
Barents;Ivanovskaya bay;68,253521;38,767103;12
White;Suhaya salma Keret island;66,310088;33,652880;1
White;Klyushiha bay Keret island;66,309793;33,776910;2
White;Podpahta ;66,302550;33,620882;3
White;Lisya bay;66,312966;33,574362;4
White;South bay Ryashkov island;67,007510;32,573970;5
White;West Ryashkov salma Ryashkov island;67,014630;32,539000;6
White;Lomnishniy island;66,980880;32,624510;7
White;Goreliy island Luvenga;67,094720;32,678910;8
White;Estuary Luvenga river;67,101620;32,693160;9
White;razrez2;67,096890;32,713330;10
White;Seldyanaya inlet;66,338080;33,620080;11
White;Medvezhya inlet;66,350270;33,596270;12
