area;year;tidal_level;sample;N2.indd.sqmeter;sea;region;tidal_gradation
Abram;2008;low;6;2040;Barents;Kola_bay;low
Abram;2008;low;7;1640;Barents;Kola_bay;low
Abram;2008;low;8;1780;Barents;Kola_bay;low
Abram;2008;low;9;1640;Barents;Kola_bay;low
Abram;2008;low;10;1920;Barents;Kola_bay;low
Abram;2008;middle;1;880;Barents;Kola_bay;middle
Abram;2008;middle;2;60;Barents;Kola_bay;middle
Abram;2008;middle;3;480;Barents;Kola_bay;middle
Abram;2008;middle;4;140;Barents;Kola_bay;middle
Abram;2008;middle;5;1140;Barents;Kola_bay;middle
DZ;2002;middle;I-1;0;Barents;East_Murman;middle
DZ;2002;middle;I-2;0;Barents;East_Murman;middle
DZ;2002;middle;I-3;60;Barents;East_Murman;middle
DZ;2002;middle;II-1;30;Barents;East_Murman;middle
DZ;2002;middle;II-2;0;Barents;East_Murman;middle
DZ;2002;middle;II-3;30;Barents;East_Murman;middle
DZ;2002;middle;III-1;150;Barents;East_Murman;middle
DZ;2002;middle;III-2;60;Barents;East_Murman;middle
DZ;2002;middle;III-3;0;Barents;East_Murman;middle
DZ;2002;middle;IV-1;60;Barents;East_Murman;middle
DZ;2002;middle;IV-2;60;Barents;East_Murman;middle
DZ;2002;middle;IV-3;120;Barents;East_Murman;middle
DZ;2002;middle;mr11;10;Barents;East_Murman;middle
DZ;2002;middle;mr13;40;Barents;East_Murman;middle
DZ;2002;middle;mr14;30;Barents;East_Murman;middle
DZ;2002;middle;mr15;60;Barents;East_Murman;middle
DZ;2002;middle;mr16;10;Barents;East_Murman;middle
DZ;2002;middle;mr18;20;Barents;East_Murman;middle
DZ;2002;middle;mr19;40;Barents;East_Murman;middle
DZ;2002;middle;mr6;50;Barents;East_Murman;middle
DZ;2002;middle;mr8;40;Barents;East_Murman;middle
DZ;2002;middle;mr9;40;Barents;East_Murman;middle
DZ;2002;middle;V-1;60;Barents;East_Murman;middle
DZ;2002;middle;V-2;60;Barents;East_Murman;middle
DZ;2002;middle;V-3;60;Barents;East_Murman;middle
DZ;2002;middle;VI-1;60;Barents;East_Murman;middle
DZ;2002;middle;VI-2;60;Barents;East_Murman;middle
DZ;2002;middle;VI-3;0;Barents;East_Murman;middle
DZ;2002;middle;VII-1;180;Barents;East_Murman;middle
DZ;2002;middle;VII-2;60;Barents;East_Murman;middle
DZ;2002;middle;VII-3;30;Barents;East_Murman;middle
DZ;2002;middle;VIII-1;180;Barents;East_Murman;middle
DZ;2002;middle;VIII-2;30;Barents;East_Murman;middle
DZ;2002;middle;VIII-3;90;Barents;East_Murman;middle
DZ;2003;middle;I-1;0;Barents;East_Murman;middle
DZ;2003;middle;I-2;60;Barents;East_Murman;middle
DZ;2003;middle;I-3;0;Barents;East_Murman;middle
DZ;2003;middle;II-1;30;Barents;East_Murman;middle
DZ;2003;middle;II-2;0;Barents;East_Murman;middle
DZ;2003;middle;II-3;0;Barents;East_Murman;middle
DZ;2003;middle;III-1;30;Barents;East_Murman;middle
DZ;2003;middle;III-2;180;Barents;East_Murman;middle
DZ;2003;middle;III-3;60;Barents;East_Murman;middle
DZ;2003;middle;IV-1;60;Barents;East_Murman;middle
DZ;2003;middle;IV-2;0;Barents;East_Murman;middle
DZ;2003;middle;IV-3;20;Barents;East_Murman;middle
DZ;2003;middle;mr11;0;Barents;East_Murman;middle
DZ;2003;middle;mr13;0;Barents;East_Murman;middle
DZ;2003;middle;mr14;0;Barents;East_Murman;middle
DZ;2003;middle;mr15;0;Barents;East_Murman;middle
DZ;2003;middle;mr16;0;Barents;East_Murman;middle
DZ;2003;middle;mr18;0;Barents;East_Murman;middle
DZ;2003;middle;mr19;80;Barents;East_Murman;middle
DZ;2003;middle;mr20;100;Barents;East_Murman;middle
DZ;2003;middle;mr21;10;Barents;East_Murman;middle
DZ;2003;middle;mr22;10;Barents;East_Murman;middle
DZ;2003;middle;mr25;10;Barents;East_Murman;middle
DZ;2003;middle;mr6;0;Barents;East_Murman;middle
DZ;2003;middle;mr8;0;Barents;East_Murman;middle
DZ;2003;middle;mr9;0;Barents;East_Murman;middle
DZ;2003;middle;V-1;30;Barents;East_Murman;middle
DZ;2003;middle;V-2;60;Barents;East_Murman;middle
DZ;2003;middle;V-3;0;Barents;East_Murman;middle
DZ;2003;middle;VI-1;30;Barents;East_Murman;middle
DZ;2003;middle;VI-2;120;Barents;East_Murman;middle
DZ;2003;middle;VI-3;30;Barents;East_Murman;middle
DZ;2003;middle;VII-1;90;Barents;East_Murman;middle
DZ;2003;middle;VII-2;120;Barents;East_Murman;middle
DZ;2003;middle;VII-3;120;Barents;East_Murman;middle
DZ;2003;middle;VIII-1;0;Barents;East_Murman;middle
DZ;2003;middle;VIII-2;0;Barents;East_Murman;middle
DZ;2003;middle;VIII-3;30;Barents;East_Murman;middle
DZ;2004;middle;I-1;60;Barents;East_Murman;middle
DZ;2004;middle;I-2;30;Barents;East_Murman;middle
DZ;2004;middle;I-3;90;Barents;East_Murman;middle
DZ;2004;middle;II-1;0;Barents;East_Murman;middle
DZ;2004;middle;II-2;0;Barents;East_Murman;middle
DZ;2004;middle;II-3;0;Barents;East_Murman;middle
