"Comp.1";"Comp.2";"Comp.3";"Comp.4";"Comp.5";"Comp.6";"Comp.7";"Comp.8";"Comp.9";"Comp.10";"Comp.11";"Comp.12";"Comp.13";"Comp.14";"Comp.15";"Comp.16";"Comp.17";"Comp.18";"Comp.19"
"(1,2]";0,908136328156091;0,2859686077761;-0,0883365480824352;0,0800531410518801;-0,0698161287247359;-0,00316330509052329;-0,0347834389515326;-0,0617360782504409;-0,00173466686513596;-0,00354689234246819;0,0598609552028136;0,0300135294522519;-0,0615967426798538;0,00488812736864391;0,0607009322931667;0,0654918495960948;0,0216280825838616;-0,00143459023941909;0,229415733871091
"(2,3]";0,213454079377811;-0,639983852628879;0,386540165515638;-0,549349008894521;0,0300265910882264;-0,118215096704438;-0,0504588277378489;0,0440235582658147;0,0142265199327109;0,0540788344595175;0,0685678023624126;0,027958932731816;-0,0680369063434854;0,00154488700767835;0,0587075398030019;0,0662489458156909;0,0241473895414955;0,00284229367400697;0,229415733870763
"(3,4]";-0,020309123190938;-0,507494078425825;-0,192162414689145;0,428340999195256;-0,314784613598669;0,387209643950611;-0,0795567134378443;-0,319526056512363;0,0759653950803144;-0,292250624964768;0,0383637839854222;-0,0301661815560234;-0,0864324946185188;-0,0303298764126712;0,068692189221545;0,0679647733776299;0,0151418188306362;-0,00599633126951764;0,229415733871786
"(4,5]";-0,0628314013456796;-0,207123878462283;-0,335134676900609;0,224350577725245;-0,13039735036621;-0,279405411583396;-0,0340329856092314;0,183507165070984;-0,479669705815503;0,582285173704513;-0,0171695363333611;0,135654041223646;-0,0832286633514285;0,0582390548994937;0,062936149887748;0,0706714867488791;0,0275403221621794;0,00996882932016409;0,229415733870155
"(5,6]";-0,0813722675397397;-0,0651870230325074;-0,418649563068011;0,0175736001278992;0,124899775030421;-0,429134223318537;-0,101286403618018;0,202314939168607;0,685337226473596;-0,0697955425261979;0,15996471269593;0,0248118008620323;0,00390384452080214;0,00363188414506034;0,0603860532872337;0,0735635082993237;0,0091935085369302;-0,00640707399126537;0,229415733871684
"(6,7]";-0,104007847134303;0,0998811136852796;-0,329362168595714;-0,285622673232729;0,206074395263895;-0,148465650998369;-0,183556444750557;-0,0126686266485807;-0,478043980648338;-0,605553952761319;-0,100060752421278;0,0236412926814837;-0,127603557030931;-0,0835594170616262;0,0614326659561131;0,0623369456643137;0,0378814384577409;-0,000466184495222184;0,229415733870243
"(7,8]";-0,142214633874545;0,162763650962905;-0,278471061664182;-0,394958977132651;0,0224462454845827;0,139287742557987;0,417226796976775;-0,58534046666142;0,047258676223197;0,266250544656512;0,209571337169573;-0,0604248807702432;0,0105140504295583;0,0436478568804314;0,0597340396174945;0,0627789897837291;0,0169042638822228;-0,00113024712738858;0,229415733871061
"(8,9]";-0,141757186231213;0,240896825042362;-0,050161377388931;-0,28478858866832;-0,16339424297238;0,511997374633279;-0,485261243560012;0,205441944865248;0,179546992036174;0,227143780827581;-0,207735435913876;0,214919634559862;-0,202066806548368;0,00870496108787992;0,0300150946280907;0,0606012789403783;0,0198509686447018;0,00688089337164701;0,22941573387092
"(9,10]";-0,161807309387867;0,235532978503807;0,205863682452639;-0,0561517734670921;-0,605829716613972;-0,07171915793015;0,144568186451688;0,321118717068863;-0,0899267273359999;-0,171691271424985;0,474412582096129;-0,221233038327555;0,00966775216474422;-0,00586384298225281;0,0803532068781511;0,0754410307464589;0,0113098797665952;-0,00280454188816735;0,229415733870518
"(10,11]";-0,139492315502518;0,188929775758292;0,36555689609248;0,117730020062288;-0,282325992818287;-0,452366462930509;-0,0266625053382224;-0,39859298791792;0,110967524233302;-0,0339398769739492;-0,458654726903854;0,213867169806744;-0,143598153398152;-0,0390311318681809;0,0669534418464746;0,0594101769372956;0,0326014879272029;-0,00222052652504293;0,229415733871126
"(11,12]";-0,124866688330284;0,125786613589045;0,317872488229953;0,245085233545523;0,404960413927265;-0,0325656002631096;-0,498989730503304;-0,262492427288994;-0,0861112471828398;0,116853650671632;0,456492196615731;-0,137331456956361;0,0707476930321542;0,0968513174434575;0,0636848514488554;0,0689141174578109;0,019540215962039;-0,00334080337189669;0,229415733871378
"(12,13]";-0,0678282073129476;0,0384757137023564;0,190164261981366;0,191727632166572;0,296551943969884;0,172907870721868;0,415953825397782;0,195468941688823;-0,000492059745923642;-0,114259522783753;0,194893095370002;0,674401337799999;-0,158413169126208;-0,0669449873841898;0,0258096036180352;0,0540011851323562;0,0165150789710679;0,00349648331091908;0,229415733871611
"(13,14]";-0,0350042134052202;0,0268570161165342;0,109972400117693;0,146265241840593;0,27839395903763;0,0924717186885495;0,258941723861742;0,180574358537778;0,0538670923603594;0,0731686149273967;-0,238272447980988;-0,579261686919713;-0,557965371795922;-0,0734607178227053;0,0172557789045441;0,0827345926625662;0,0417032759650918;0,00673083426332946;0,229415733868394
"(14,15]";-0,0182036023737856;0,00786887690101216;0,0474230990877847;0,0385305615941355;0,0888746617265377;0,10358907042909;0,141081631824256;0,141415061636048;-0,00459674796208613;-0,0930029451008482;-0,284441582249059;-0,0826598020559547;0,40812723101076;0,718725860386625;0,310755603268184;0,0851128573012333;-0,031931104614549;0,0182224103926488;0,229415733868615
"(15,16]";-0,0137375995737717;0,0131143263489934;0,04304660579299;0,0418951900325161;0,0927029171551963;0,0975064498147657;0,0549507654644373;0,094571474387596;-0,00494635597381947;0,0833081809912671;-0,191757359566602;-0,115486359227056;0,554937351256963;-0,668346625703274;0,3101789578784;0,0691826419130728;0,0170573628159474;-0,01820029330042;0,229415733875418
"(16,17]";-0,00479580943183089;-0,000875500097014179;0,0165953160498261;0,0196956870242956;0,0108589289721665;0,0261305818783355;0,0379704899495652;0,0368886648722416;-0,00845883835688675;-0,0144238775585482;-0,0956024794346521;-0,0466091096107917;0,273677248579442;0,0243223874243976;-0,808991157700112;0,355036372516882;0,274596514909;-0,00864010880912764;0,229415733872469
"(17,18]";-0,00185520137619567;-0,00318175509843284;-0,00011647211540165;0,0101831526948513;-0,00138824862191381;0,00599987101851966;0,0101712339465714;0,0158923327574169;0,011157504892507;-0,00334236260868903;-0,00819077833930857;-0,0238957207726672;0,0568720741552725;0,0242835107998086;-0,0806966589394141;-0,775240377485174;0,511066572145092;0,271220735698917;0,229415733868752
"(18,19]";-0,00156221329093553;-0,00204629305106393;0,00426313481345961;0,00359091766391484;0,00640384112439626;0,00277575559433337;0,00959393679669707;0,0169030575536996;-0,013035163581427;0,00396774745376847;-0,0306386232023331;-0,0218474914359551;0,0433911685426341;0,0166921028810507;-0,19025634512602;-0,400683917364154;-0,323290372607718;-0,80117375973743;0,229415733878758
"(19,20]";5,52117673256475e-05;-0,000183117589667124;0,00509623237087202;0,00584906666850742;0,0057426209366732;-0,00484117047043574;0,00412970283976898;0,00223642741002299;-0,0113114377693707;-0,00524965864763205;-0,0296027431561533;-0,0263520114930958;0,0571034511886869;-0,033995351072781;-0,257651946780133;-0,203566458053661;-0,741456703914149;0,532451980788732;0,229415733855931
