;YuG_2001;YuG_2002;YuG_2003;YuG_2004;YuG_2005;YuG_2006;YuG_2007;YuG_2008;YuG_2009;YuG_2010;YuG_2011;YuG_2012;Lomnishniy_2007;Lomnishniy_2008;Lomnishniy_2009;Lomnishniy_2010;Lomnishniy_2011;Lomnishniy_2012;ZRS_1994;ZRS_1995;ZRS_1996;ZRS_1997;ZRS_1998;ZRS_1999;ZRS_2000;ZRS_2001;ZRS_2002;ZRS_2003;ZRS_2004;ZRS_2005;ZRS_2006;ZRS_2007;ZRS_2008;ZRS_2009;ZRS_2010;ZRS_2011;ZRS_2012;Estuary_1992;Estuary_1993;Estuary_1994;Estuary_1995;Estuary_1996;Estuary_1997;Estuary_1998;Estuary_1999;Estuary_2000;Estuary_2001;Estuary_2002;Estuary_2003;Estuary_2004;Estuary_2005;Estuary_2006;Estuary_2007;Estuary_2008;Estuary_2009;Estuary_2010;Estuary_2011;Estuary_2012;Goreniy_high_1992;Goreniy_high_1993;Goreniy_high_1994;Goreniy_high_1995;Goreniy_high_1996;Goreniy_high_1997;Goreniy_high_1998;Goreniy_high_1999;Goreniy_high_2000;Goreniy_high_2001;Goreniy_high_2002;Goreniy_high_2003;Goreniy_high_2004;Goreniy_high_2005;Goreniy_high_2006;Goreniy_high_2007;Goreniy_high_2008;Goreniy_high_2009;Goreniy_high_2010;Goreniy_high_2011;Goreniy_high_2012;Goreliy_middle_1992;Goreliy_middle_1993;Goreliy_middle_1994;Goreliy_middle_1995;Goreliy_middle_1996;Goreliy_middle_1997;Goreliy_middle_1998;Goreliy_middle_1999;Goreliy_middle_2000;Goreliy_middle_2001;Goreliy_middle_2002;Goreliy_middle_2003;Goreliy_middle_2004;Goreliy_middle_2005;Goreliy_middle_2006;Goreliy_middle_2007;Goreliy_middle_2008;Goreliy_middle_2009;Goreliy_middle_2010;Goreliy_middle_2011;Goreliy_middle_2012;Goreliy_midlow_1992;Goreliy_midlow_1993;Goreliy_midlow_1994;Goreliy_midlow_1995;Goreliy_midlow_1996;Goreliy_midlow_1997;Goreliy_midlow_1998;Goreliy_midlow_1999;Goreliy_midlow_2000;Goreliy_midlow_2001;Goreliy_midlow_2002;Goreliy_midlow_2003;Goreliy_midlow_2004;Goreliy_midlow_2005;Goreliy_midlow_2006;Goreliy_midlow_2007;Goreliy_midlow_2008;Goreliy_midlow_2009;Goreliy_midlow_2010;Goreliy_midlow_2011;Goreliy_midlow_2012;Goreliy_low_1992;Goreliy_low_1993;Goreliy_low_1994;Goreliy_low_1995;Goreliy_low_1996;Goreliy_low_1997;Goreliy_low_1998;Goreliy_low_1999;Goreliy_low_2000;Goreliy_low_2001;Goreliy_low_2002;Goreliy_low_2003;Goreliy_low_2004;Goreliy_low_2005;Goreliy_low_2006;Goreliy_low_2007;Goreliy_low_2008;Goreliy_low_2009;Goreliy_low_2010;Goreliy_low_2011;Goreliy_low_2012;razrez2_high_1992;razrez2_high_1993;razrez2_high_1994;razrez2_high_1995;razrez2_high_1996;razrez2_high_1997;razrez2_high_1998;razrez2_high_1999;razrez2_high_2000;razrez2_high_2002;razrez2_high_2004;razrez2_fucus_1992;razrez2_fucus_1993;razrez2_fucus_1994;razrez2_fucus_1995;razrez2_fucus_1996;razrez2_fucus_1997;razrez2_fucus_1998;razrez2_fucus_1999;razrez2_fucus_2000;razrez2_fucus_2002;razrez2_fucus_2004;razrez2_zostera_1992;razrez2_zostera_1993;razrez2_zostera_1994;razrez2_zostera_1995;razrez2_zostera_1996;razrez2_zostera_1997;razrez2_zostera_1998;razrez2_zostera_1999;razrez2_zostera_2000;razrez2_zostera_2002;razrez2_zostera_2004;razrez2_low_1992;razrez2_low_1993;razrez2_low_1994;razrez2_low_1995;razrez2_low_1996;razrez2_low_1997;razrez2_low_1998;razrez2_low_1999;razrez2_low_2000;razrez2_low_2002
(1,2];7,9575596817;26,1755485893;33,5608646189;49,0952955368;23,488372093;22,2551928783;57,9320113314;37,2384937238;32,6203208556;21,1143695015;28,021978022;67,6056338028;16,7664670659;51,7647058824;2,9520295203;2,7777777778;8,7301587302;32,7485380117;1,1111111111;4,0816326531;0;2,2727272727;41,059602649;62,1922626026;47,5945017182;8,3499005964;4,6468401487;1,5544041451;34,1825902335;10,4109589041;15,0943396226;9,4786729858;34,2391304348;28,3667621777;14,880952381;10,9965635739;14,8351648352;0;3,305785124;9,8712446352;14,7887323944;0;0;45,3333333333;32,7974276527;4,7038327526;7,2890025575;5,9130434783;24,6246246246;37,037037037;18,6858316222;10,7382550336;56,2827225131;32,2772277228;30,8243727599;19,2868719611;10,183299389;12,8205128205;0;0;9,0163934426;4,7619047619;0;6,25;21,5053763441;56,0126582278;42,7868852459;18,4818481848;16,8067226891;24,644549763;47,3282442748;29,7385620915;39,0909090909;57,7319587629;38,1818181818;41,935483871;6,6666666667;7,5;23,8888888889;1,8518518519;5,5555555556;23,5294117647;1,4084507042;9,0277777778;5,1724137931;24,1666666667;78,704856787;37,7083333333;10,4815864023;21,8181818182;18,9573459716;32,9411764706;31,0043668122;49,7382198953;66,8341708543;40,1459854015;22,65625;7,2463768116;18,1818181818;21,2290502793;0;17,8082191781;7,1428571429;21,7142857143;0;5,5555555556;28,4482758621;48,820754717;17,037037037;8,4821428571;17,8082191781;30,6273062731;4,8076923077;0;7,6923076923;16,6666666667;22,3300970874;30,3797468354;3,7593984962;34,5911949686;10,5263157895;0;0;2,5641025641;30,9090909091;7,1428571429;23,6842105263;41,0714285714;56,4245810056;2,7777777778;4,7619047619;5,376344086;5,8441558442;8,4415584416;1,2048192771;1,3157894737;4,5454545455;20,2702702703;10,6382978723;10,5263157895;30;2,380952381;0;0;2,5974025974;9,0909090909;4,3010752688;8,064516129;44,3661971831;83,0110497238;9,0909090909;12,5;54,2857142857;0;3,5714285714;8,7248322148;20,6349206349;1,2987012987;13,1944444444;42,1818181818;61,8741976893;32,0652173913;32,6153846154;29,3689320388;0;0;6,5359477124;18,1818181818;2,3255813953;14,5299145299;62,6237623762;49,4802494802;35,3629976581;19,8198198198;29,3729372937;1,7857142857;8,4745762712;4,3010752688;11,6788321168;3,4482758621;11,9318181818;27,4111675127;57,2164948454;31,970260223;27,7777777778
(2,3];19,0981432361;18,0250783699;36,8600682594;22,4366706876;28,6046511628;30,5637982196;12,8895184136;19,8744769874;12,8342245989;16,42228739;10,989010989;14,0845070423;42,5149700599;27,8431372549;14,7601476015;11,6666666667;36,5079365079;25,730994152;25,5555555556;6,1224489796;3,8461538462;0;5,9602649007;8,4407971864;22,5085910653;17,6938369781;7,063197026;3,1088082902;3,3970276008;4,1095890411;2,5157232704;1,4218009479;8,9673913043;15,4727793696;10,119047619;6,8728522337;3,8461538462;0;20,6611570248;11,1587982833;8,4507042254;10,8910891089;0;25,3333333333;50,9646302251;11,8466898955;5,3708439898;3,4782608696;1,5015015015;11,4114114114;10,4722792608;6,3758389262;5,7591623037;11,0891089109;16,1290322581;16,5316045381;3,66598778;3,1339031339;0;18,6046511628;31,9672131148;0;15,3846153846;0;50,5376344086;21,2025316456;18,5245901639;19,801980198;15,9663865546;4,7393364929;12,5954198473;11,4379084967;5,9090909091;4,1237113402;5,4545454545;16,6666666667;16,6666666667;22,5;16,6666666667;3,7037037037;30,5555555556;5,1470588235;1,4084507042;10,4166666667;1,724137931;52,9166666667;11,4570361146;24,375;15,2974504249;7,2727272727;1,4218009479;2,9411764706;4,3668122271;3,664921466;3,0150753769;22,9927007299;11,71875;8,6956521739;19,0082644628;14,5251396648;10;31,5068493151;9,3406593407;16,5714285714;4,2553191489;0;59,0517241379;25;18,5185185185;17,4107142857;9,5890410959;9,963099631;10,5769230769;0,7407407407;0;16,6666666667;26,213592233;10,1265822785;8,2706766917;9,4339622642;3,9473684211;0;6,8965517241;10,2564102564;12,7272727273;0;2,6315789474;33,9285714286;10,0558659218;11,1111111111;8,3333333333;9,6774193548;1,2987012987;1,9480519481;2,4096385542;3,9473684211;4,5454545455;16,2162162162;4,2553191489;29,8245614035;9,0909090909;4,7619047619;0;10,9090909091;18,1818181818;14,8760330579;6,4516129032;16,1290322581;30,2816901408;11,1878453039;17,6136363636;1,4705882353;12,8571428571;0;16,0714285714;14,0939597315;3,7037037037;3,8961038961;11,8055555556;26,5454545455;10,9114249037;22,8260869565;6,4615384615;6,3106796117;5,4054054054;9,8765432099;16,9934640523;13,6363636364;10,4651162791;9,4017094017;10,6435643564;12,8898128898;15,925058548;12,012012012;9,2409240924;7,1428571429;16,9491525424;10,752688172;13,1386861314;5,7471264368;10,7954545455;15,2284263959;7,9896907216;18,9591078067;11,1111111111
(3,4];20,9549071618;16,144200627;12,8555176337;13,9927623643;22,7906976744;27,8931750742;8,6402266289;12,3430962343;8,0213903743;10,8504398827;12,0879120879;11,2676056338;21,5568862275;4,7058823529;16,6051660517;11,6666666667;23,0158730159;15,2046783626;11,1111111111;7,1428571429;9,6153846154;2,2727272727;0;8,6166471278;8,5910652921;16,1033797217;13,3828996283;8,0310880829;1,2738853503;2,1917808219;0,6289308176;1,8957345972;3,8043478261;7,4498567335;6,8452380952;4,1237113402;3,8461538462;0;38,0165289256;2,1459227468;2,1126760563;8,9108910891;0;1,7777777778;7,0739549839;27,0034843206;10,2301790281;6,9565217391;1,951951952;2,7027027027;10,0616016427;4,3624161074;3,664921466;10,6930693069;10,394265233;12,3176661264;7,9429735234;2,849002849;5,8823529412;39,5348837209;10,6557377049;0;7,6923076923;0;8,6021505376;2,5316455696;9,0163934426;11,2211221122;13,4453781513;7,5829383886;10,6870229008;10,1307189542;6,3636363636;3,0927835052;3,6363636364;8,064516129;6,6666666667;30;4,4444444444;1,8518518519;29,8611111111;2,9411764706;7,0422535211;6,25;3,4482758621;17,9166666667;0,498132005;16,25;22,0963172805;13,1818181818;6,63507109;1,1764705882;2,6200873362;4,1884816754;2,0100502513;12,0437956204;10,9375;11,5942028986;21,4876033058;12,2905027933;0;12,3287671233;2,1978021978;8;2,1276595745;0;2,5862068966;8,4905660377;16,2962962963;16,0714285714;10,9589041096;7,0110701107;7,6923076923;5,9259259259;0;3,7037037037;10,6796116505;6,3291139241;8,2706766917;4,4025157233;3,9473684211;0;24,1379310345;0;7,2727272727;4,7619047619;10,5263157895;9,8214285714;9,217877095;6,9444444444;14,2857142857;13,9784946237;2,5974025974;0;1,2048192771;1,3157894737;1,5151515152;5,4054054054;6,3829787234;10,5263157895;4,5454545455;2,380952381;0;40;14,2857142857;18,1818181818;13,9784946237;3,2258064516;15,8450704225;1,6574585635;15,3409090909;7,3529411765;4,2857142857;10,5263157895;32,1428571429;8,0536912752;13,7566137566;9,7402597403;3,4722222222;9,8181818182;5,3915275995;13,8586956522;7,0769230769;4,1262135922;29,7297297297;7,4074074074;9,1503267974;7,2727272727;17,4418604651;3,4188034188;1,9801980198;12,2661122661;10,5386416862;19,2192192192;7,2607260726;30,3571428571;16,9491525424;8,6021505376;9,4890510949;4,0229885057;3,4090909091;4,0609137056;6,1855670103;10,780669145;3,7037037037
(4,5];14,5888594164;10,9717868339;4,6643913538;9,1676718938;13,9534883721;12,7596439169;8,3569405099;8,9958158996;8,9126559715;10,5571847507;15,3846153846;2,8169014085;9,5808383234;1,1764705882;19,1881918819;10;9,5238095238;15,2046783626;6,6666666667;1,0204081633;5,7692307692;0;1,3245033113;8,0304806565;3,0927835052;8,5487077535;12,0817843866;9,067357513;1,6985138004;4,1095890411;1,2578616352;0,9478672986;2,9891304348;5,4441260745;6,8452380952;6,8728522337;3,8461538462;0;16,5289256198;4,7210300429;4,2253521127;5,9405940594;1,5625;0,8888888889;3,3762057878;27,8745644599;12,1483375959;14,0869565217;4,3543543544;1,6016016016;5,954825462;6,3758389262;2,4869109948;5,7425742574;6,4516129032;8,265802269;6,7209775967;4,2735042735;1,9607843137;18,6046511628;2,4590163934;0;0;12,5;2,1505376344;2,2151898734;6,2295081967;7,5907590759;7,1428571429;8,5308056872;7,6335877863;8,4967320261;5;4,1237113402;2,7272727273;1,0752688172;15,5555555556;23,5;5,5555555556;3,7037037037;11,1111111111;4,4117647059;7,0422535211;6,25;3,4482758621;0,8333333333;2,6151930262;5,4166666667;15,8640226629;14,0909090909;8,0568720379;3,5294117647;2,6200873362;1,5706806283;3,0150753769;8,0291970803;7,03125;8,6956521739;5,7851239669;5,0279329609;0;2,7397260274;7,6923076923;10,8571428571;6,3829787234;0;0;3,3018867925;5,9259259259;14,2857142857;15,0684931507;7,3800738007;5,7692307692;5,9259259259;3,0769230769;3,7037037037;5,8252427184;7,5949367089;16,5413533835;3,1446540881;19,7368421053;0;13,7931034483;5,1282051282;4,5454545455;0;5,2631578947;0;7,5418994413;9,7222222222;15,4761904762;16,1290322581;7,7922077922;1,2987012987;3,6144578313;7,8947368421;4,5454545455;4,0540540541;6,3829787234;7,0175438596;10;3,5714285714;4,5454545455;18,1818181818;20,7792207792;4,132231405;11,8279569892;3,2258064516;1,0563380282;1,3812154696;21,5909090909;10,2941176471;2,8571428571;15,7894736842;3,5714285714;11,4093959732;10,582010582;9,7402597403;4,8611111111;3,0909090909;4,7496790757;6,7934782609;5,5384615385;3,8834951456;8,1081081081;3,7037037037;9,1503267974;6,3636363636;11,6279069767;3,4188034188;1,9801980198;6,0291060291;6,5573770492;8,1081081081;4,2904290429;14,2857142857;3,3898305085;9,6774193548;6,5693430657;10,9195402299;3,4090909091;3,0456852792;6,7010309278;5,2044609665;12,962962963
(5,6];10,875331565;8,3072100313;2,04778157;2,8950542823;7,4418604651;5,0445103858;6,2322946176;9,4142259414;9,0909090909;9,0909090909;5,4945054945;0;2,3952095808;1,568627451;11,4391143911;7,7777777778;5,5555555556;3,5087719298;3,3333333333;4,0816326531;1,9230769231;0;4,6357615894;5,6858147714;4,4673539519;6,958250497;9,8513011152;14,5077720207;5,3078556263;4,6575342466;3,1446540881;1,4218009479;5,7065217391;2,005730659;4,7619047619;3,7800687285;3,2967032967;0;6,6115702479;6,008583691;7,7464788732;1,9801980198;9,375;0,8888888889;2,4115755627;13,93728223;19,1815856777;17,5652173913;6,1561561562;2,3023023023;3,9014373717;7,0469798658;1,7015706806;4,5544554455;8,064516129;4,7001620746;9,1649694501;7,9772079772;1,9607843137;4,6511627907;0,8196721311;0;3,8461538462;0;1,0752688172;4,1139240506;6,0655737705;9,900990099;12,6050420168;15,6398104265;4,9618320611;8,4967320261;6,3636363636;3,0927835052;5,4545454545;2,688172043;15,5555555556;10,5;6,6666666667;1,8518518519;1,3888888889;8,0882352941;2,8169014085;4,1666666667;1,724137931;0,8333333333;2,1170610212;3,125;13,3144475921;13,6363636364;10,4265402844;3,5294117647;7,423580786;2,0942408377;1,0050251256;3,2846715328;10,9375;14,4927536232;4,132231405;2,7932960894;20;1,3698630137;9,3406593407;3,4285714286;8,5106382979;0;0,4310344828;5,6603773585;8,1481481481;12,0535714286;16,4383561644;12,1771217712;1,9230769231;4,4444444444;7,6923076923;0;2,9126213592;6,3291139241;17,2932330827;6,2893081761;9,2105263158;25;13,7931034483;2,5641025641;7,2727272727;2,380952381;0;2,6785714286;5,5865921788;15,2777777778;8,3333333333;16,1290322581;9,0909090909;5,1948051948;3,6144578313;3,9473684211;1,5151515152;8,1081081081;2,1276595745;7,8947368421;4,5454545455;5,9523809524;4,5454545455;16,3636363636;7,7922077922;1,652892562;10,752688172;0;0,7042253521;1,5193370166;17,6136363636;18,3823529412;1,4285714286;31,5789473684;3,5714285714;10,7382550336;5,8201058201;10,3896103896;3,4722222222;2;4,2362002567;5,1630434783;7,3846153846;6,7961165049;8,1081081081;6,1728395062;7,1895424837;11,8181818182;10,4651162791;0,8547008547;0,9900990099;3,3264033264;8,8992974239;7,2072072072;6,2706270627;8,9285714286;3,3898305085;5,376344086;5,8394160584;4,0229885057;1,1363636364;3,0456852792;2,5773195876;5,5762081784;1,8518518519
(6,7];12,9973474801;4,3887147335;3,0716723549;2,0506634499;1,8604651163;0,8902077151;3,2577903683;2,9288702929;6,4171122995;8,504398827;6,5934065934;1,4084507042;2,3952095808;1,568627451;11,4391143911;14,4444444444;1,5873015873;2,9239766082;4,4444444444;14,2857142857;3,8461538462;0;3,3112582781;2,286049238;3,7800687285;7,3558648111;11,8959107807;13,9896373057;7,2186836518;10,9589041096;3,1446540881;2,3696682464;1,902173913;2,2922636103;4,7619047619;6,8728522337;6,043956044;3,0303030303;0;11,1587982833;8,4507042254;6,9306930693;7,8125;1,3333333333;1,2861736334;4,0069686411;20,4603580563;20,6956521739;14,1141141141;4,6046046046;4,5174537988;8,389261745;3,4031413613;3,1683168317;4,1218637993;5,6726094003;6,7209775967;7,6923076923;3,9215686275;0;6,5573770492;0;3,8461538462;12,5;3,2258064516;5,3797468354;5,4098360656;10,2310231023;9,243697479;11,8483412322;1,5267175573;8,4967320261;7,2727272727;2,5773195876;10,9090909091;4,3010752688;5,5555555556;2,5;11,1111111111;25,9259259259;0;16,9117647059;8,4507042254;6,9444444444;3,4482758621;0;2,4906600249;4,375;6,2322946176;12,2727272727;18,9573459716;12,9411764706;8,2969432314;4,7120418848;2,0100502513;3,6496350365;10,15625;8,6956521739;1,652892562;2,7932960894;10;1,3698630137;13,1868131868;2,8571428571;4,2553191489;0;0,4310344828;2,1226415094;5,1851851852;7,5892857143;19,1780821918;10,7011070111;3,8461538462;11,1111111111;10,7692307692;0;2,9126213592;2,5316455696;10,5263157895;7,5471698113;15,7894736842;25;0;15,3846153846;10;0;2,6315789474;3,5714285714;1,3966480447;13,8888888889;10,7142857143;9,6774193548;12,987012987;11,038961039;8,4337349398;7,8947368421;3,0303030303;2,7027027027;8,5106382979;7,0175438596;6,3636363636;17,8571428571;18,1818181818;1,8181818182;9,0909090909;8,2644628099;8,6021505376;4,8387096774;0,7042253521;0,6906077348;7,3863636364;15,4411764706;4,2857142857;5,2631578947;3,5714285714;10,067114094;4,7619047619;7,1428571429;4,8611111111;1,6363636364;2,3106546855;5,1630434783;7,3846153846;11,1650485437;5,4054054054;1,2345679012;5,8823529412;7,2727272727;3,488372093;5,1282051282;0,7425742574;3,5343035343;3,981264637;7,2072072072;4,9504950495;0;10,1694915254;7,5268817204;5,8394160584;5,7471264368;1,1363636364;2,538071066;2,3195876289;4,4609665428;9,2592592593
(7,8];5,8355437666;4,7021943574;3,0716723549;0,2412545235;0,9302325581;0;1,1331444759;4,8117154812;8,1996434938;4,1055718475;4,3956043956;0;0,5988023952;2,3529411765;7,0110701107;11,1111111111;4,7619047619;0,5847953216;1,1111111111;9,1836734694;5,7692307692;9,0909090909;1,3245033113;0,8206330598;4,4673539519;11,7296222664;9,2936802974;12,6943005181;13,3757961783;18,6301369863;9,4339622642;6,63507109;3,5326086957;2,2922636103;4,7619047619;8,5910652921;7,6923076923;6,0606060606;1,652892562;17,1673819742;4,9295774648;4,9504950495;9,375;0,4444444444;0,3215434084;4,5296167247;14,0664961637;16,6956521739;18,4684684685;13,7137137137;8,8295687885;9,7315436242;5,497382199;2,3762376238;4,8387096774;6,6450567261;8,1466395112;11,9658119658;11,7647058824;0;9,8360655738;4,7619047619;3,8461538462;12,5;1,0752688172;1,582278481;3,9344262295;6,600660066;7,1428571429;10,4265402844;3,0534351145;4,9019607843;8,6363636364;5,1546391753;6,3636363636;6,4516129032;8,8888888889;2;10,5555555556;24,0740740741;0;18,3823529412;7,0422535211;4,8611111111;15,5172413793;1,25;0,8717310087;2,7083333333;7,0821529745;8,1818181818;16,5876777251;13,5294117647;15,2838427948;8,3769633508;3,5175879397;1,0948905109;5,46875;13,0434782609;3,305785124;5,0279329609;40;2,7397260274;23,0769230769;4,5714285714;4,2553191489;5,5555555556;0,4310344828;0,7075471698;11,8518518519;8,9285714286;6,8493150685;7,0110701107;17,3076923077;17,037037037;13,8461538462;3,7037037037;5,8252427184;5,0632911392;8,2706766917;5,0314465409;13,1578947368;0;3,4482758621;23,0769230769;4,5454545455;0;0;0;0,5586592179;15,2777777778;14,2857142857;13,9784946237;15,5844155844;11,038961039;9,6385542169;5,2631578947;6,0606060606;2,7027027027;2,1276595745;7,8947368421;8,1818181818;16,6666666667;13,6363636364;5,4545454545;7,7922077922;7,4380165289;5,376344086;11,2903225806;1,4084507042;0,4143646409;3,9772727273;14,7058823529;6,7857142857;10,5263157895;1,7857142857;8,0536912752;5,291005291;9,0909090909;8,3333333333;1,8181818182;2,053915276;1,3586956522;13,5384615385;13,5922330097;16,2162162162;4,9382716049;1,9607843137;4,5454545455;5,8139534884;6,8376068376;1,4851485149;1,0395010395;4,6838407494;3,6036036036;10,5610561056;3,5714285714;3,3898305085;10,752688172;4,3795620438;8,0459770115;5,1136363636;1,0152284264;2,3195876289;3,717472119;5,5555555556
(8,9];5,3050397878;4,2319749216;1,2514220705;0;0,2325581395;0,296735905;0,566572238;2,3012552301;3,743315508;5,8651026393;4,3956043956;0;1,7964071856;1,1764705882;4,7970479705;7,2222222222;2,380952381;1,1695906433;6,6666666667;14,2857142857;11,5384615385;22,7272727273;0,6622516556;1,0550996483;2,2336769759;10,9343936382;12,6394052045;14,5077720207;13,3757961783;19,1780821918;20,1257861635;16,5876777251;6,5217391304;5,4441260745;5,3571428571;10,9965635739;18,1318681319;15,1515151515;0;12,8755364807;7,0422535211;10,8910891089;10,9375;0,8888888889;0,1607717042;1,9163763066;5,8823529412;8,5217391304;18,4684684685;15,1151151151;16,2217659138;7,7181208054;4,057591623;2,5742574257;2,688172043;4,8622366288;11,6089613035;15,0997150997;15,6862745098;0;5,737704918;14,2857142857;7,6923076923;6,25;3,2258064516;0,9493670886;2,6229508197;5,6105610561;5,8823529412;7,1090047393;2,6717557252;7,1895424837;8,1818181818;9,2783505155;13,6363636364;7,5268817204;3,3333333333;1,5;11,1111111111;9,2592592593;2,7777777778;8,8235294118;22,5352112676;9,7222222222;8,6206896552;0,4166666667;0,3735990037;2,9166666667;5,3824362606;6,8181818182;9,0047393365;15,2941176471;20,0873362445;12,0418848168;9,5477386935;3,2846715328;6,25;5,7971014493;6,6115702479;7,2625698324;10;6,8493150685;9,8901098901;9,7142857143;0;0;0,8620689655;0,2358490566;2,962962963;7,1428571429;2,7397260274;5,9040590406;21,1538461538;18,5185185185;10,7692307692;14,8148148148;4,854368932;10,1265822785;6,015037594;14,465408805;6,5789473684;25;3,4482758621;17,9487179487;1,8181818182;0;0;2,6785714286;1,1173184358;6,9444444444;8,3333333333;6,4516129032;17,5324675325;16,2337662338;22,8915662651;9,2105263158;7,5757575758;4,0540540541;0;3,5087719298;10;14,2857142857;18,1818181818;3,6363636364;7,7922077922;7,4380165289;3,2258064516;3,2258064516;1,7605633803;0;3,4090909091;10,2941176471;8,2142857143;5,2631578947;5,3571428571;7,3825503356;10,582010582;9,0909090909;4,8611111111;1,4545454545;1,4120667522;2,9891304348;7,3846153846;10,6796116505;5,4054054054;7,4074074074;5,2287581699;6,3636363636;6,976744186;11,9658119658;1,9801980198;1,6632016632;4,4496487119;3,9039039039;7,2607260726;3,5714285714;5,0847457627;13,9784946237;4,3795620438;10,3448275862;8,5227272727;1,5228426396;1,5463917526;2,9739776952;1,8518518519
(9,10];0,7957559682;3,2915360502;1,023890785;0,1206272618;0,4651162791;0,296735905;0,7082152975;1,2552301255;3,2085561497;4,9853372434;3,2967032967;0;0;2,7450980392;2,2140221402;8,3333333333;0,7936507937;0;11,1111111111;5,1020408163;17,3076923077;9,0909090909;2,6490066225;0,2930832356;1,0309278351;5,9642147117;12,2676579926;13,4715025907;12,101910828;16,9863013699;26,4150943396;28,9099526066;10,8695652174;10,0286532951;10,4166666667;12,0274914089;12,0879120879;12,1212121212;0;9,8712446352;12,676056338;9,900990099;6,25;1,3333333333;0,3215434084;1,5679442509;2,557544757;2,4347826087;6,4564564565;7,8078078078;15,8110882957;13,7583892617;4,4502617801;5,1485148515;1,7921146953;4,7001620746;10,183299389;11,396011396;21,568627451;0;13,1147540984;0;7,6923076923;6,25;1,0752688172;0,9493670886;1,1475409836;1,6501650165;4,6218487395;4,7393364929;2,2900763359;2,9411764706;6,8181818182;5,6701030928;5,4545454545;3,7634408602;5,5555555556;0;5,5555555556;12,962962963;1,3888888889;1,4705882353;23,9436619718;14,5833333333;17,2413793103;1,25;0,2490660025;1,875;1,9830028329;1,3636363636;3,7914691943;8,2352941176;4,8034934498;9,9476439791;6,5326633166;1,4598540146;8,59375;7,2463768116;9,0909090909;12,8491620112;0;4,1095890411;4,3956043956;10,8571428571;19,1489361702;16,6666666667;0;0,7075471698;1,4814814815;1,7857142857;1,3698630137;4,7970479705;9,6153846154;19,2592592593;24,6153846154;16,6666666667;6,7961165049;12,6582278481;9,022556391;6,2893081761;5,2631578947;0;13,7931034483;7,6923076923;2,7272727273;0;5,2631578947;0;0,5586592179;2,7777777778;4,7619047619;3,2258064516;8,4415584416;16,8831168831;16,8674698795;26,3157894737;24,2424242424;2,7027027027;4,2553191489;2,6315789474;3,6363636364;5,9523809524;18,1818181818;0;6,4935064935;11,5702479339;12,9032258065;17,7419354839;1,4084507042;0,138121547;1,1363636364;6,6176470588;2,8571428571;10,5263157895;1,7857142857;2,0134228188;7,9365079365;13,6363636364;7,6388888889;1,8181818182;1,1553273427;0,5434782609;6,1538461538;7,2815533981;5,4054054054;8,6419753086;3,9215686275;3,6363636364;9,3023255814;9,4017094017;3,4653465347;1,4553014553;1,4051522248;5,7057057057;4,6204620462;10,7142857143;1,6949152542;5,376344086;5,1094890511;5,7471264368;12,5;4,0609137056;1,5463917526;4,0892193309;7,4074074074
(10,11];0,5305039788;2,0376175549;0,6825938567;0;0,2325581395;0;0,283286119;0,6276150628;2,495543672;3,5190615836;1,6483516484;0;1,1976047904;2,3529411765;3,3210332103;5;0;0;12,2222222222;2,0408163265;13,4615384615;18,1818181818;3,3112582781;0,2930832356;0;1,5904572565;2,9739776952;4,1450777202;5,5201698514;5,2054794521;13,8364779874;20,3791469194;12,7717391304;13,1805157593;14,5833333333;17,5257731959;8,7912087912;9,0909090909;0;3,8626609442;16,1971830986;12,8712871287;3,125;4,8888888889;0;0;1,2787723785;1,7391304348;2,5525525526;3,1031031031;4,3121149897;18,1208053691;6,1518324607;7,1287128713;3,4050179211;5,510534846;7,1283095723;8,2621082621;15,6862745098;0;0,8196721311;9,5238095238;19,2307692308;12,5;1,0752688172;1,2658227848;1,9672131148;2,9702970297;1,2605042017;0,4739336493;2,2900763359;3,9215686275;4,5454545455;5,1546391753;6,3636363636;5,376344086;11,1111111111;0;2,2222222222;5,5555555556;4,1666666667;0;5,6338028169;15,9722222222;15,5172413793;0;0,1245330012;0,8333333333;1,1331444759;1,3636363636;4,7393364929;2,9411764706;2,6200873362;2,6178010471;2,5125628141;2,1897810219;1,5625;11,5942028986;6,6115702479;10,0558659218;10;8,2191780822;2,7472527473;4,5714285714;36,170212766;22,2222222222;1,2931034483;0,7075471698;2,962962963;1,3392857143;0;0,7380073801;8,6538461538;11,1111111111;13,8461538462;16,6666666667;5,8252427184;6,3291139241;7,5187969925;5,6603773585;10,5263157895;0;3,4482758621;5,1282051282;8,1818181818;7,1428571429;10,5263157895;0;0;0;3,5714285714;2,1505376344;4,5454545455;18,8311688312;16,8674698795;19,7368421053;25,7575757576;12,1621621622;14,8936170213;1,7543859649;2,7272727273;5,9523809524;9,0909090909;0;2,5974025974;9,0909090909;5,376344086;6,4516129032;1,7605633803;0;1,7045454545;0,7352941176;2,1428571429;5,2631578947;14,2857142857;2,0134228188;5,291005291;5,1948051948;9,7222222222;2,5454545455;2,4390243902;3,2608695652;2,1538461538;3,8834951456;2,7027027027;11,1111111111;5,8823529412;2,7272727273;3,488372093;10,2564102564;3,9603960396;1,2474012474;1,4051522248;4,5045045045;6,2706270627;7,1428571429;6,7796610169;4,3010752688;7,299270073;6,3218390805;8,5227272727;9,1370558376;1,0309278351;2,2304832714;1,8518518519
