"Var1";"Var2";"Freq"
"1";"(1,2]";"1992";0
"2";"(2,3]";"1992";0
"3";"(3,4]";"1992";0
"4";"(4,5]";"1992";0
"5";"(5,6]";"1992";0
"6";"(6,7]";"1992";3,03030303030303
"7";"(7,8]";"1992";6,06060606060606
"8";"(8,9]";"1992";15,1515151515152
"9";"(9,10]";"1992";12,1212121212121
"10";"(10,11]";"1992";9,09090909090909
"11";"(11,12]";"1992";12,1212121212121
"12";"(12,13]";"1992";15,1515151515152
"13";"(13,14]";"1992";9,09090909090909
"14";"(14,15]";"1992";6,06060606060606
"15";"(15,16]";"1992";9,09090909090909
"16";"(16,17]";"1992";3,03030303030303
"17";"(17,18]";"1992";0
"18";"(18,19]";"1992";0
"19";"(19,20]";"1992";0
"20";"(1,2]";"1993";3,30578512396694
"21";"(2,3]";"1993";20,6611570247934
"22";"(3,4]";"1993";38,0165289256198
"23";"(4,5]";"1993";16,5289256198347
"24";"(5,6]";"1993";6,61157024793388
"25";"(6,7]";"1993";0
"26";"(7,8]";"1993";1,65289256198347
"27";"(8,9]";"1993";0
"28";"(9,10]";"1993";0
"29";"(10,11]";"1993";0
"30";"(11,12]";"1993";1,65289256198347
"31";"(12,13]";"1993";2,47933884297521
"32";"(13,14]";"1993";5,78512396694215
"33";"(14,15]";"1993";0,826446280991736
"34";"(15,16]";"1993";0,826446280991736
"35";"(16,17]";"1993";0,826446280991736
"36";"(17,18]";"1993";0
"37";"(18,19]";"1993";0,826446280991736
"38";"(19,20]";"1993";0
"39";"(1,2]";"1994";9,87124463519313
"40";"(2,3]";"1994";11,1587982832618
"41";"(3,4]";"1994";2,14592274678112
"42";"(4,5]";"1994";4,72103004291846
"43";"(5,6]";"1994";6,00858369098712
"44";"(6,7]";"1994";11,1587982832618
"45";"(7,8]";"1994";17,1673819742489
"46";"(8,9]";"1994";12,8755364806867
"47";"(9,10]";"1994";9,87124463519313
"48";"(10,11]";"1994";3,86266094420601
"49";"(11,12]";"1994";0,429184549356223
"50";"(12,13]";"1994";2,57510729613734
"51";"(13,14]";"1994";2,14592274678112
"52";"(14,15]";"1994";2,57510729613734
"53";"(15,16]";"1994";3,43347639484979
"54";"(16,17]";"1994";0
"55";"(17,18]";"1994";0
"56";"(18,19]";"1994";0
"57";"(19,20]";"1994";0
"58";"(1,2]";"1995";14,7887323943662
"59";"(2,3]";"1995";8,45070422535211
"60";"(3,4]";"1995";2,11267605633803
"61";"(4,5]";"1995";4,22535211267606
"62";"(5,6]";"1995";7,74647887323944
"63";"(6,7]";"1995";8,45070422535211
"64";"(7,8]";"1995";4,92957746478873
"65";"(8,9]";"1995";7,04225352112676
"66";"(9,10]";"1995";12,6760563380282
"67";"(10,11]";"1995";16,1971830985916
"68";"(11,12]";"1995";4,22535211267606
"69";"(12,13]";"1995";4,22535211267606
"70";"(13,14]";"1995";2,11267605633803
"71";"(14,15]";"1995";2,8169014084507
"72";"(15,16]";"1995";0
"73";"(16,17]";"1995";0
"74";"(17,18]";"1995";0
"75";"(18,19]";"1995";0
"76";"(19,20]";"1995";0
"77";"(1,2]";"1996";0
"78";"(2,3]";"1996";10,8910891089109
"79";"(3,4]";"1996";8,91089108910891
"80";"(4,5]";"1996";5,94059405940594
"81";"(5,6]";"1996";1,98019801980198
"82";"(6,7]";"1996";6,93069306930693
"83";"(7,8]";"1996";4,95049504950495
"84";"(8,9]";"1996";10,8910891089109
"85";"(9,10]";"1996";9,9009900990099
"86";"(10,11]";"1996";12,8712871287129
"87";"(11,12]";"1996";11,8811881188119
"88";"(12,13]";"1996";5,94059405940594
"89";"(13,14]";"1996";4,95049504950495
"90";"(14,15]";"1996";1,98019801980198
"91";"(15,16]";"1996";0,99009900990099
"92";"(16,17]";"1996";0,99009900990099
"93";"(17,18]";"1996";0
"94";"(18,19]";"1996";0
"95";"(19,20]";"1996";0
"96";"(1,2]";"1997";0
"97";"(2,3]";"1997";0
"98";"(3,4]";"1997";0
"99";"(4,5]";"1997";1,5625
"100";"(5,6]";"1997";9,375
"101";"(6,7]";"1997";7,8125
"102";"(7,8]";"1997";9,375
"103";"(8,9]";"1997";10,9375
"104";"(9,10]";"1997";6,25
"105";"(10,11]";"1997";3,125
"106";"(11,12]";"1997";23,4375
"107";"(12,13]";"1997";18,75
