sea;area;tidal_zone;mareographic;size_class;year;percentage
White;Estuary;middle;middle;(1,2];1992;0
White;Estuary;middle;middle;(2,3];1992;0
White;Estuary;middle;middle;(3,4];1992;0
White;Estuary;middle;middle;(4,5];1992;0
White;Estuary;middle;middle;(5,6];1992;0
White;Estuary;middle;middle;(6,7];1992;3
White;Estuary;middle;middle;(7,8];1992;6
White;Estuary;middle;middle;(8,9];1992;15
White;Estuary;middle;middle;(9,10];1992;12
White;Estuary;middle;middle;(10,11];1992;9
White;Estuary;middle;middle;(11,12];1992;12
White;Estuary;middle;middle;(12,13];1992;15
White;Estuary;middle;middle;(13,14];1992;9
White;Estuary;middle;middle;(14,15];1992;6
White;Estuary;middle;middle;(15,16];1992;9
White;Estuary;middle;middle;(16,17];1992;3
White;Estuary;middle;middle;(17,18];1992;0
White;Estuary;middle;middle;(18,19];1992;0
White;Estuary;middle;middle;(19,20];1992;0
White;Estuary;middle;middle;(1,2];1993;3
White;Estuary;middle;middle;(2,3];1993;21
White;Estuary;middle;middle;(3,4];1993;38
White;Estuary;middle;middle;(4,5];1993;17
White;Estuary;middle;middle;(5,6];1993;7
White;Estuary;middle;middle;(6,7];1993;0
White;Estuary;middle;middle;(7,8];1993;2
White;Estuary;middle;middle;(8,9];1993;0
White;Estuary;middle;middle;(9,10];1993;0
White;Estuary;middle;middle;(10,11];1993;0
White;Estuary;middle;middle;(11,12];1993;2
White;Estuary;middle;middle;(12,13];1993;2
White;Estuary;middle;middle;(13,14];1993;6
White;Estuary;middle;middle;(14,15];1993;1
White;Estuary;middle;middle;(15,16];1993;1
White;Estuary;middle;middle;(16,17];1993;1
White;Estuary;middle;middle;(17,18];1993;0
White;Estuary;middle;middle;(18,19];1993;1
White;Estuary;middle;middle;(19,20];1993;0
White;Estuary;middle;middle;(1,2];1994;10
White;Estuary;middle;middle;(2,3];1994;11
White;Estuary;middle;middle;(3,4];1994;2
White;Estuary;middle;middle;(4,5];1994;5
White;Estuary;middle;middle;(5,6];1994;6
White;Estuary;middle;middle;(6,7];1994;11
White;Estuary;middle;middle;(7,8];1994;17
White;Estuary;middle;middle;(8,9];1994;13
White;Estuary;middle;middle;(9,10];1994;10
White;Estuary;middle;middle;(10,11];1994;4
White;Estuary;middle;middle;(11,12];1994;0
White;Estuary;middle;middle;(12,13];1994;3
White;Estuary;middle;middle;(13,14];1994;2
White;Estuary;middle;middle;(14,15];1994;3
White;Estuary;middle;middle;(15,16];1994;3
White;Estuary;middle;middle;(16,17];1994;0
White;Estuary;middle;middle;(17,18];1994;0
White;Estuary;middle;middle;(18,19];1994;0
White;Estuary;middle;middle;(19,20];1994;0
White;Estuary;middle;middle;(1,2];1995;15
White;Estuary;middle;middle;(2,3];1995;8
White;Estuary;middle;middle;(3,4];1995;2
White;Estuary;middle;middle;(4,5];1995;4
White;Estuary;middle;middle;(5,6];1995;8
White;Estuary;middle;middle;(6,7];1995;8
White;Estuary;middle;middle;(7,8];1995;5
White;Estuary;middle;middle;(8,9];1995;7
White;Estuary;middle;middle;(9,10];1995;13
White;Estuary;middle;middle;(10,11];1995;16
White;Estuary;middle;middle;(11,12];1995;4
White;Estuary;middle;middle;(12,13];1995;4
White;Estuary;middle;middle;(13,14];1995;2
White;Estuary;middle;middle;(14,15];1995;3
White;Estuary;middle;middle;(15,16];1995;0
White;Estuary;middle;middle;(16,17];1995;0
White;Estuary;middle;middle;(17,18];1995;0
White;Estuary;middle;middle;(18,19];1995;0
White;Estuary;middle;middle;(19,20];1995;0
White;Estuary;middle;middle;(1,2];1996;0
White;Estuary;middle;middle;(2,3];1996;11
White;Estuary;middle;middle;(3,4];1996;9
White;Estuary;middle;middle;(4,5];1996;6
White;Estuary;middle;middle;(5,6];1996;2
White;Estuary;middle;middle;(6,7];1996;7
White;Estuary;middle;middle;(7,8];1996;5
White;Estuary;middle;middle;(8,9];1996;11
White;Estuary;middle;middle;(9,10];1996;10
White;Estuary;middle;middle;(10,11];1996;13
White;Estuary;middle;middle;(11,12];1996;12
White;Estuary;middle;middle;(12,13];1996;6
White;Estuary;middle;middle;(13,14];1996;5
White;Estuary;middle;middle;(14,15];1996;2
White;Estuary;middle;middle;(15,16];1996;1
White;Estuary;middle;middle;(16,17];1996;1
White;Estuary;middle;middle;(17,18];1996;0
White;Estuary;middle;middle;(18,19];1996;0
White;Estuary;middle;middle;(19,20];1996;0
White;Estuary;middle;middle;(1,2];1997;0
White;Estuary;middle;middle;(2,3];1997;0
White;Estuary;middle;middle;(3,4];1997;0
White;Estuary;middle;middle;(4,5];1997;2
White;Estuary;middle;middle;(5,6];1997;9
White;Estuary;middle;middle;(6,7];1997;8
White;Estuary;middle;middle;(7,8];1997;9
White;Estuary;middle;middle;(8,9];1997;11
White;Estuary;middle;middle;(9,10];1997;6
White;Estuary;middle;middle;(10,11];1997;3
White;Estuary;middle;middle;(11,12];1997;23
White;Estuary;middle;middle;(12,13];1997;19
White;Estuary;middle;middle;(13,14];1997;6
White;Estuary;middle;middle;(14,15];1997;2
White;Estuary;middle;middle;(15,16];1997;2
White;Estuary;middle;middle;(16,17];1997;0
White;Estuary;middle;middle;(17,18];1997;0
White;Estuary;middle;middle;(18,19];1997;0
White;Estuary;middle;middle;(19,20];1997;0
White;Estuary;middle;middle;(1,2];1998;45
White;Estuary;middle;middle;(2,3];1998;25
White;Estuary;middle;middle;(3,4];1998;2
White;Estuary;middle;middle;(4,5];1998;1
White;Estuary;middle;middle;(5,6];1998;1
White;Estuary;middle;middle;(6,7];1998;1
White;Estuary;middle;middle;(7,8];1998;0
White;Estuary;middle;middle;(8,9];1998;1
White;Estuary;middle;middle;(9,10];1998;1
White;Estuary;middle;middle;(10,11];1998;5
White;Estuary;middle;middle;(11,12];1998;5
White;Estuary;middle;middle;(12,13];1998;4
White;Estuary;middle;middle;(13,14];1998;4
White;Estuary;middle;middle;(14,15];1998;2
White;Estuary;middle;middle;(15,16];1998;1
White;Estuary;middle;middle;(16,17];1998;2
White;Estuary;middle;middle;(17,18];1998;0
White;Estuary;middle;middle;(18,19];1998;0
White;Estuary;middle;middle;(19,20];1998;0
White;Estuary;middle;middle;(1,2];1999;33
White;Estuary;middle;middle;(2,3];1999;51
White;Estuary;middle;middle;(3,4];1999;7
White;Estuary;middle;middle;(4,5];1999;3
White;Estuary;middle;middle;(5,6];1999;2
White;Estuary;middle;middle;(6,7];1999;1
White;Estuary;middle;middle;(7,8];1999;0
White;Estuary;middle;middle;(8,9];1999;0
White;Estuary;middle;middle;(9,10];1999;0
White;Estuary;middle;middle;(10,11];1999;0
White;Estuary;middle;middle;(11,12];1999;0
White;Estuary;middle;middle;(12,13];1999;0
White;Estuary;middle;middle;(13,14];1999;0
White;Estuary;middle;middle;(14,15];1999;0
White;Estuary;middle;middle;(15,16];1999;0
White;Estuary;middle;middle;(16,17];1999;0
White;Estuary;middle;middle;(17,18];1999;0
White;Estuary;middle;middle;(18,19];1999;0
White;Estuary;middle;middle;(19,20];1999;0
White;Estuary;middle;middle;(1,2];2000;5
White;Estuary;middle;middle;(2,3];2000;12
White;Estuary;middle;middle;(3,4];2000;27
White;Estuary;middle;middle;(4,5];2000;28
White;Estuary;middle;middle;(5,6];2000;14
White;Estuary;middle;middle;(6,7];2000;4
White;Estuary;middle;middle;(7,8];2000;5
White;Estuary;middle;middle;(8,9];2000;2
White;Estuary;middle;middle;(9,10];2000;2
White;Estuary;middle;middle;(10,11];2000;0
White;Estuary;middle;middle;(11,12];2000;0
White;Estuary;middle;middle;(12,13];2000;1
White;Estuary;middle;middle;(13,14];2000;1
White;Estuary;middle;middle;(14,15];2000;0
White;Estuary;middle;middle;(15,16];2000;0
White;Estuary;middle;middle;(16,17];2000;0
White;Estuary;middle;middle;(17,18];2000;0
White;Estuary;middle;middle;(18,19];2000;0
White;Estuary;middle;middle;(19,20];2000;0
White;Estuary;middle;middle;(1,2];2001;7
White;Estuary;middle;middle;(2,3];2001;5
White;Estuary;middle;middle;(3,4];2001;10
White;Estuary;middle;middle;(4,5];2001;12
White;Estuary;middle;middle;(5,6];2001;19
White;Estuary;middle;middle;(6,7];2001;20
White;Estuary;middle;middle;(7,8];2001;14
White;Estuary;middle;middle;(8,9];2001;6
White;Estuary;middle;middle;(9,10];2001;3
White;Estuary;middle;middle;(10,11];2001;1
White;Estuary;middle;middle;(11,12];2001;0
White;Estuary;middle;middle;(12,13];2001;0
White;Estuary;middle;middle;(13,14];2001;0
White;Estuary;middle;middle;(14,15];2001;1
White;Estuary;middle;middle;(15,16];2001;0
White;Estuary;middle;middle;(16,17];2001;0
White;Estuary;middle;middle;(17,18];2001;0
White;Estuary;middle;middle;(18,19];2001;0
White;Estuary;middle;middle;(19,20];2001;0
White;Estuary;middle;middle;(1,2];2002;6
White;Estuary;middle;middle;(2,3];2002;3
White;Estuary;middle;middle;(3,4];2002;7
White;Estuary;middle;middle;(4,5];2002;14
White;Estuary;middle;middle;(5,6];2002;18
White;Estuary;middle;middle;(6,7];2002;21
White;Estuary;middle;middle;(7,8];2002;17
White;Estuary;middle;middle;(8,9];2002;9
White;Estuary;middle;middle;(9,10];2002;2
White;Estuary;middle;middle;(10,11];2002;2
White;Estuary;middle;middle;(11,12];2002;0
White;Estuary;middle;middle;(12,13];2002;0
White;Estuary;middle;middle;(13,14];2002;1
White;Estuary;middle;middle;(14,15];2002;1
White;Estuary;middle;middle;(15,16];2002;0
White;Estuary;middle;middle;(16,17];2002;0
White;Estuary;middle;middle;(17,18];2002;0
White;Estuary;middle;middle;(18,19];2002;0
White;Estuary;middle;middle;(19,20];2002;0
White;Estuary;middle;middle;(1,2];2003;25
White;Estuary;middle;middle;(2,3];2003;2
White;Estuary;middle;middle;(3,4];2003;2
White;Estuary;middle;middle;(4,5];2003;4
White;Estuary;middle;middle;(5,6];2003;6
White;Estuary;middle;middle;(6,7];2003;14
White;Estuary;middle;middle;(7,8];2003;18
