"season";"year";"Barents";"White"
"DJF";2000;4,6533333333;1,1
"MAM";2000;3,1466666667;2,0866666667
"JJA";2000;5,8933333333;13,4407407407
"SON";2000;7,53;6,9142857143
"DJF";2001;4,42;-0,2
"MAM";2001;3,12;0,4166666667
"JJA";2001;6,7033333333;9,8148148148
"SON";2001;7,3333333333;4,5761904762
"DJF";2002;3,8266666667;-1,1333333333
"MAM";2002;3,0933333333;-0,3833333333
"JJA";2002;6,9633333333;10,52
"SON";2002;7,2;5,219047619
"DJF";2003;3,8266666667;0,0166666667
"MAM";2003;2,76;1,65
"JJA";2003;6,74;12,7583333333
"SON";2003;7,53;6,8458333333
"DJF";2004;4,4566666667;-0,9666666667
"MAM";2004;3,5433333333;0,4333333333
"JJA";2004;7,62;12,3481481481
"SON";2004;7,4733333333;6,619047619
"DJF";2005;4,73;1,8666666667
"MAM";2005;3,16;-0,8666666667
"JJA";2005;7,1366666667;12,05
"SON";2005;7,9366666667;6,019047619
"DJF";2006;4,9466666667;0,0333333333
"MAM";2006;3,86;2,1
"JJA";2006;6,8166666667;10,3666666667
"SON";2006;7,5466666667;7,3619047619
"DJF";2007;4,91;0,7333333333
"MAM";2007;3,7166666667;2,7222222222
"JJA";2007;7,25;12,462962963
"SON";2007;7,9366666667;7,0523809524
"DJF";2008;4,9233333333;1,6
"MAM";2008;3,5066666667;1,8111111111
"JJA";2008;6,4433333333;10,8333333333
"SON";2008;7,0833333333;5,5833333333
"DJF";2009;4,7033333333;0,2166666667
"MAM";2009;3,3066666667;0,3222222222
"JJA";2009;6,4133333333;10,34
"SON";2009;7,34;4,9285714286
"DJF";2010;4,4466666667;-0,8166666667
"MAM";2010;3,2966666667;1,65
"JJA";2010;6,7233333333;9,2047619048
