"year";"temp";"date"
"1";2000;5,30583333333333;2000-01-01
"2";2001;5,39416666666667;2001-01-01
"3";2002;5,27083333333333;2002-01-01
"4";2003;5,21416666666667;2003-01-01
"5";2004;5,77333333333333;2004-01-01
"6";2005;5,74083333333333;2005-01-01
"7";2006;5,7925;2006-01-01
"8";2007;5,95333333333333;2007-01-01
"9";2008;5,48916666666667;2008-01-01
"10";2009;5,44083333333333;2009-01-01
"11";2010;5,43583333333333;2010-01-01
"12";2011;5,46666666666667;2011-01-01
"13";2012;5,75333333333333;2012-01-01
"14";2013;6,18583333333333;2013-01-01
