"year";"m0_50";"date"
"1";1979;3,41153846153846;1979-01-01
"2";1980;4,3283950617284;1980-01-01
"3";1981;4,13194444444444;1981-01-01
"4";1982;2,71611111111111;1982-01-01
"5";1983;3,57569444444444;1983-01-01
"6";1984;4,36538461538461;1984-01-01
"7";1985;4,06794871794872;1985-01-01
"8";1986;3,87435897435897;1986-01-01
"9";1987;3,69492753623188;1987-01-01
"10";1988;4,85227272727273;1988-01-01
"11";1989;4,69606060606061;1989-01-01
"12";1990;4,79782608695652;1990-01-01
"13";1991;3,81736111111111;1991-01-01
"14";1992;5,325;1992-01-01
"15";1993;4,58412698412698;1993-01-01
"16";1994;5,28157894736842;1994-01-01
"17";1995;5,125;1995-01-01
"18";1996;4,19518518518518;1996-01-01
"19";1997;5,44264705882353;1997-01-01
"20";1998;5,59473684210526;1998-01-01
"21";1999;6,37971014492754;1999-01-01
"22";2000;8,22272727272727;2000-01-01
"23";2001;6,36842105263158;2001-01-01
"24";2002;6,28712121212121;2002-01-01
"25";2003;6,88055555555556;2003-01-01
"26";2004;7,53492063492063;2004-01-01
"27";2005;8,61228070175439;2005-01-01
"28";2006;7,2984126984127;2006-01-01
"29";2007;8,52166666666667;2007-01-01
"30";2008;6,91833333333333;2008-01-01
"31";2009;6,33181818181818;2009-01-01
"32";2010;6,00909090909091;2010-01-01
