"year";"temp_air";"date"
"1";1986;-1,30833333333333;1986-01-01
"2";1987;-1,00833333333333;1987-01-01
"3";1988;-0,0166666666666664;1988-01-01
"4";1989;1,90833333333333;1989-01-01
"5";1990;0,841666666666667;1990-01-01
"6";1991;0,0083333333333333;1991-01-01
"7";1992;0,725;1992-01-01
"8";1993;0,0249999999999999;1993-01-01
"9";1994;0,441666666666666;1994-01-01
"10";1995;0,491666666666667;1995-01-01
"11";1996;0,35;1996-01-01
"12";1997;0,266666666666667;1997-01-01
"13";1998;-1,38333333333333;1998-01-01
"14";1999;0,0499999999999999;1999-01-01
"15";2000;2,05;2000-01-01
"16";2001;0,416666666666667;2001-01-01
"17";2002;-0,15;2002-01-01
"18";2003;1,44166666666667;2003-01-01
"19";2004;0,883333333333333;2004-01-01
"20";2005;2,21666666666667;2005-01-01
"21";2006;0,966666666666667;2006-01-01
"22";2007;1,78333333333333;2007-01-01
"23";2008;1,425;2008-01-01
"24";2009;1,09166666666667;2009-01-01
"25";2010;0,0749999999999999;2010-01-01
"26";2011;2,025;2011-01-01
"27";2012;0,283333333333333;2012-01-01
"28";2013;3,31111111111111;2013-01-01
