"year";"temp_air";"date";"temp_water_m0";"temp_water_m0_50"
1986;-1,3083333333;"1986-01-01";6,3461538462;3,8743589744
1987;-1,0083333333;"1987-01-01";6,0565217391;3,6949275362
1988;-0,0166666667;"1988-01-01";7,8045454545;4,8522727273
1989;1,9083333333;"1989-01-01";7,8545454545;4,6960606061
1990;0,8416666667;"1990-01-01";6,952173913;4,797826087
1991;0,0083333333;"1991-01-01";5,9416666667;3,8173611111
1992;0,725;"1992-01-01";7,4444444444;5,325
1993;0,025;"1993-01-01";7,580952381;4,5841269841
1994;0,4416666667;"1994-01-01";7,9210526316;5,2815789474
1995;0,4916666667;"1995-01-01";8,00625;5,125
1996;0,35;"1996-01-01";7,7;4,1951851852
1997;0,2666666667;"1997-01-01";9,8970588235;5,4426470588
1998;-1,3833333333;"1998-01-01";7,9157894737;5,5947368421
1999;0,05;"1999-01-01";7,1869565217;6,3797101449
2000;2,05;"2000-01-01";8,8045454545;8,2227272727
2001;0,4166666667;"2001-01-01";7,4315789474;6,3684210526
2002;-0,15;"2002-01-01";7,0681818182;6,2871212121
2003;1,4416666667;"2003-01-01";7,5208333333;6,8805555556
2004;0,8833333333;"2004-01-01";8,3952380952;7,5349206349
2005;2,2166666667;"2005-01-01";9,4263157895;8,6122807018
2006;0,9666666667;"2006-01-01";8,1;7,2984126984
2007;1,7833333333;"2007-01-01";9,045;8,5216666667
2008;1,425;"2008-01-01";7,665;6,9183333333
2009;1,0916666667;"2009-01-01";7,3636363636;6,3318181818
2010;0,075;"2010-01-01";8;6,0090909091
2011;2,025;"2011-01-01";"NA";"NA"
2012;0,2833333333;"2012-01-01";"NA";"NA"
2013;3,3111111111;"2013-01-01";"NA";"NA"
