"season";"year";"Chupa_water";"Kanda_air"
"DJF";1986;-0,6666666667;-15,9
"MAM";1986;1,2571428571;-0,2
"JJA";1986;13,1666666667;12,4333333333
"SON";1986;5,6714285714;-1,5666666667
"DJF";1987;-0,2;-16,4
"MAM";1987;0,25;-2,3333333333
"JJA";1987;9,9111111111;10,8
"SON";1987;8,1666666667;3,9
"DJF";1988;-0,8;-12,6
"MAM";1988;1,1666666667;-2
"JJA";1988;12,9111111111;13,9333333333
"SON";1988;6,7;0,6
"DJF";1989;-1;-9,3
"MAM";1989;2,54;2,3
"JJA";1989;13,1777777778;13,5666666667
"SON";1989;7,25;1,0666666667
"DJF";1990;-1,2;-7,9333333333
"MAM";1990;1,16;-2,40403761712453E-016
"JJA";1990;12,0888888889;12,1333333333
"SON";1990;6,8142857143;-0,8333333333
"DJF";1991;-0,85;-11,9666666667
"MAM";1991;0,9;-2,2
"JJA";1991;12,5333333333;12,5333333333
"SON";1991;4,2285714286;1,6666666667
"DJF";1992;-1;-6,7333333333
"MAM";1992;7;-0,1333333333
"JJA";1992;10,0333333333;11,3666666667
"SON";1992;5,3857142857;-1,6
"DJF";1993;"NA";-9,2666666667
"MAM";1993;2,4;-1,1333333333
"JJA";1993;13,2333333333;12,0333333333
"SON";1993;4,0142857143;-1,5333333333
"DJF";1994;"NA";-10,4
"MAM";1994;-0,8666666667;-0,6
"JJA";1994;12,9875;12,6333333333
"SON";1994;6,15;0,1333333333
"DJF";1995;-1;-10,1333333333
"MAM";1995;"NA";0,4
"JJA";1995;10,85;12,2
"SON";1995;6,0428571429;-0,5
"DJF";1996;-1,1;-10,2666666667
"MAM";1996;-1,05;-1,8666666667
"JJA";1996;10,89;11,7
"SON";1996;6,58;1,8333333333
"DJF";1997;"NA";-11,3
"MAM";1997;"NA";-1,8
"JJA";1997;13,06;13,3333333333
"SON";1997;5,3785714286;0,8333333333
"DJF";1998;-1,1;-14,6666666667
"MAM";1998;-0,65;-3,3
"JJA";1998;12,0222222222;12,4
"SON";1998;6,3714285714;0,0333333333
"DJF";1999;-1,1;-13,3666666667
"MAM";1999;0,2333333333;-1,8333333333
"JJA";1999;12,12;12,9
"SON";1999;5,7;2,5
"DJF";2000;1;-9,6
"MAM";2000;3;0,5
"JJA";2000;14,1444444444;13,6666666667
"SON";2000;7,2;3,6333333333
"DJF";2001;-1,4;-9,8
"MAM";2001;0,85;-2,2666666667
"JJA";2001;11,8222222222;13,5
"SON";2001;4,9285714286;0,2333333333
"DJF";2002;-1,35;-11,5666666667
"MAM";2002;-0,0666666667;-0,4666666667
"JJA";2002;12,19;13,2333333333
"SON";2002;5,2142857143;-1,8
"DJF";2003;0;-11,1666666667
"MAM";2003;2,34;1,3666666667
"JJA";2003;14,125;13,1666666667
"SON";2003;6,975;2,4
"DJF";2004;-1;-10
"MAM";2004;0,7;-0,7
"JJA";2004;14,0555555556;13,3333333333
"SON";2004;6,8571428571;0,9
"DJF";2005;1,8;-8,4333333333
"MAM";2005;-0,6;-1,3
"JJA";2005;13,46;14,3666666667
"SON";2005;6,1857142857;4,2333333333
"DJF";2006;0,1;-9,6
"MAM";2006;2,675;-0,9
"JJA";2006;12,0777777778;13,6
"SON";2006;7,2285714286;0,7666666667
"DJF";2007;0,7;-10,5333333333
"MAM";2007;3,5;1,6666666667
"JJA";2007;13,4888888889;13,3
"SON";2007;6,9;2,7
"DJF";2008;0,8;-6,8
"MAM";2008;2,8;-1,4
"JJA";2008;12,275;12
"SON";2008;5,7375;1,9
"DJF";2009;0,4;-10,3333333333
"MAM";2009;2,3666666667;-0,5333333333
"JJA";2009;11,8;12,8
"SON";2009;5,1571428571;2,4333333333
"DJF";2010;-0,85;-14,2333333333
"MAM";2010;3,35;0,0666666667
"JJA";2010;11,8571428571;13
