;;;;;;;;;;
Западный Мурман;Ура-губа;2005;СГЛ;3;1/30;1267;288,8;23;NA;NA
;Печенга;2005;СГЛ;3;1/30;767;218,6;29;NA;NA
Кольский Залив;Северное Нагорное;2005;СГЛ;2;1/30;390;90;23;NA;NA
;Абрам-мыс;2005;СГЛ;2;1/30;3350;520;16;NA;NA
;;2008;СГЛ;5;1/20;540;208,5;39;123,1;41,12
;;2008;НГЛ;5;1/20;1804;78,6;4;216,5;54,99
;Ретинское;2005;СГЛ;2;1/30;660;300;45;NA;NA
;Пала-губа;2007;СГЛ;16;1/30;936;76,4;8;35,8;4,02
;;2007 осень;НГЛ;36;1/30;790;61,7;8;172;13,02
;;2008 зима;СГЛ;11;1/20;864;154,4;18;77,3;13,09
;;2008;НГЛ;10;1/30;1644;192,5;12;193,2;29,14
Восточный Мурман;Гаврилово;2008;СГЛ;5;1/30;99;24,5;25;119,9;33,26
;;2008;НГЛ;5;1/30;74;26,3;36;13,02;6,89
;Ярнышная;2007;СГЛ;36;1/30;70;9,6;14;24,5;5,62
;;2008;ВГЛ;5;1/30;219;97,6;45;116,9;20,92
;;2008;НГЛ;5;1/30;387;109,1;28;41,1;21,99
;Дальнезеленецкая;2002;СГЛ;43;1/30;52;7;13;NA;NA
;;2003;СГЛ;48;1/30;34;6,6;20;NA;NA
;;2004;СГЛ;44;1/30;32;5,3;16;NA;NA
;;2005;СГЛ;30;1/30;30;4,5;15;NA;NA
;;2006;СГЛ;28;1/30;39;6;16;NA;NA
;;2007;СГЛ;33;1/30;72;6,6;9;34,4;5,57
;;2008;СГЛ;72;1/30;72;5,5;8;NA;NA
;;2008;ВГЛ;10;1/30;30;8,9;30;NA;NA
;;2008;НГЛ;5;1/30;42;7,3;17;43;4,93
;Шельпино;2008;ВГЛ;5;1/30;36;17,5;49;14,6;8,02
;;2008;СГЛ;5;1/30;54;11,2;21;23,5;10,15
;Порчниха;2007;СГЛ;32;1/30;87;10,8;12;26,8;5,57
;;2008;СГЛ;5;1/30;48;15,7;33;NA;NA
;Ивановская;2008;ВСЛ;5;1/20;1208;72,8;6;75,2;1,94
