Район;участок;год;горизонт литорали;число повторностей;учетная площадь;N;SEM;D;B;SEM
г. Чупа;б. Клющиха;2006;СГЛ;10;1/20;444;53,7;12;1,1;0,27
;;2006;НГЛ;10;1/20;362;26,4;7;NA;NA
;;2006;ВСЛ;10;1/20;1136;55,4;5;NA;NA
;Сухая салма;2006;СГЛ;10 и;2/20;1165;169,3;15;6,2;1,17
;;2006;НГЛ;5;1/20;1132;82,6;7;NA;NA
;;2006;НГЛ, зостера;5;1/20;992;174,4;18;NA;NA
;б. Лисья;2006;СГЛ;10;1/20;1346;209,8;16;1,9;0,76
;;2006;НГЛ;10;1/20;2832;277,8;10;NA;NA
;;2006;ВСЛ;10;1/20;1006;159,8;16;NA;NA
;пр. Подпахта;2006;СГЛ;10;1/20;688;145,2;21;1,9;1,21
;;2006;НГЛ;10;1/20;372;57,9;16;NA;NA
Лувеньга;материковая литораль, Лувеньга;1992;верхний пляж;7;1/30;94;35,5;38;12,4;3,73
;;1992;пояс фукоидов;5;1/30;114;55,6;49;23,9;10,73
;;1992;пояс зостеры;5;1/30;222;103,3;47;22,5;10,95
;;1992;нижний пляж;3;1/30;560;457,1;82;52,0;34,64
;;1993;верхний пляж;4;1/30;413;127,5;31;11,5;4,56
;;1993;пояс фукоидов;5;1/30;336;120,9;36;25,6;11,27
;;1993;пояс зостеры;6;1/30;405;80;20;73,7;12,88
;;1993;нижний пляж;5;1/30;354;77,3;22;50,5;15,95
;;1994;верхний пляж;5;1/30;462;179,1;39;24,6;2,06
;;1994;пояс фукоидов;6;1/30;745;220,6;30;66,9;16,81
;;1994;пояс зостеры;6;1/30;765;112,7;15;108,9;24,64
;;1994;нижний пляж;3;1/30;930;170,6;18;121,1;2,89
;;1995;верхний пляж;4;1/30;908;222,3;24;68,8;9,20
;;1995;пояс фукоидов;5;1/30;1134;269,7;24;83,0;19,32
;;1995;пояс зостеры;5;1/30;660;117,7;18;61,5;9,75
;;1995;нижний пляж;6;1/30;685;154,8;23;113,7;4,21
;;1996;верхний пляж;4;1/30;698;257;37;62,2;20,58
;;1996;пояс фукоидов;6;1/30;770;214,9;28;94,2;23,14
;;1996;пояс зостеры;4;1/30;645;71,9;11;65,2;8,55
;;1996;нижний пляж;6;1/30;870;68,8;8;153,0;19,42
;;1997;верхний пляж;3;1/30;620;130;21;74,2;32,49
;;1997;пояс фукоидов;6;1/30;720;265,6;37;88,4;22,91
;;1997;пояс зостеры;5;1/30;702;70,7;10;96,7;18,36
;;1997;нижний пляж;6;1/30;880;97;11;160,6;21,58
;;1998;верхний пляж;4;1/30;2130;623,9;29;25,6;8,52
;;1998;пояс фукоидов;6;1/30;2750;820;30;93,0;27,49
;;1998;пояс зостеры;5;1/30;2424;437,1;18;136,8;22,56
