о;ZRS;Goreliy;Estuary;YuG;Lomnishniy;razrez2;Abram;Pala;Gavrilovo;Yarnyshnaya;DZ;Shelpino;Porchnikha;Ivanovskaya
Alitte virens;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Arenicola marina ;1;1;1;1;1;0;0;0;0;1;1;0;1;0
Atylus carinatus;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Capitella capitata;0;0;0;1;0;0;1;1;1;0;1;0;1;0
Chironomidae;0;1;1;1;1;0;1;1;1;1;1;1;1;0
Clitellio arenarius;0;0;0;1;0;0;1;0;1;1;1;1;1;0
Corophium bonelli;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Crangon crangon;0;0;0;1;1;0;0;1;0;0;0;0;0;0
Cylichna alba;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Cylichna occulta;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Diastylis sulcata;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Dolichopodidae;0;1;0;1;0;0;0;0;0;0;0;0;0;0
Enchytraeidae;0;1;1;1;0;0;0;1;1;1;1;1;1;0
Epheria vincta;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Eteone longa;0;1;0;1;1;1;0;1;0;0;0;0;0;0
Fabricia sabella;1;1;1;1;1;1;1;1;1;1;1;1;0;1
Gammarus sp;1;1;1;1;0;1;1;1;1;1;1;0;1;0
Halicryptus spinulosus;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Harmathoe imbricata;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Hydrobia ulvae;1;1;1;1;1;0;1;1;0;1;0;0;1;0
Jaera sp;0;1;0;0;0;0;0;0;1;1;0;1;0;0
Limaponlia cocksi;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Littorina littorea;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Littorina obtusata;0;0;0;1;1;0;0;0;1;0;0;0;0;0
Littorina saxatilis;1;1;1;1;1;0;1;1;0;1;1;1;1;0
Macoma balthica;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Micronephthys minuta;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Microspio theli;1;0;0;1;1;0;0;0;0;0;0;0;0;0
Monoculodes sp.;0;0;1;1;1;1;0;0;0;0;0;0;0;0
Mya arenaria;0;1;0;0;0;0;0;0;0;1;1;0;1;1
Mytilus edulis;1;1;1;0;0;0;1;1;1;1;1;1;1;0
Nemertini indet.;0;0;0;1;1;0;1;1;0;1;1;1;1;0
Nephthys sp.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Oligochaeta;0;0;0;1;0;0;1;1;1;1;1;1;1;1
Ophelia limacina;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Paranais littoralis;1;0;1;0;1;0;0;0;0;1;1;0;0;0
Pectinaria sp.;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Phyllodoce groenlandica;0;0;0;1;1;0;0;1;0;0;1;0;0;0
Polydora quadrilobata;0;0;0;1;1;1;0;0;0;1;0;0;0;0
Pontoporea affinis;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Pseudalibrotus littoralis;1;0;1;1;0;1;0;0;0;0;1;0;0;0
Pygospio elegans;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Scalibregma inflatum;0;0;0;1;1;0;0;0;0;1;0;0;0;0
Scoloplos armiger;0;0;0;1;1;0;1;0;1;1;1;0;1;0
Spio filicornis;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Spionidae gen. sp.;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Travisia forbesii;0;0;0;1;1;0;0;0;0;1;0;0;0;0
Tubifex costatus;1;0;0;1;1;0;1;1;1;1;1;0;0;1
Tubificoides benedeni;1;1;0;1;1;0;0;1;1;1;1;0;1;1
Nereimyra (Castalia) punctata;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Chaetozone setosa;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Priapulus caudatus;0;0;0;0;1;1;0;1;0;0;0;0;1;0
Priscillina armata;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Serripes groenlandica;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Skeneopsis planorbis;0;0;0;0;1;0;0;0;1;1;0;0;0;0
Pontoporea femorata;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Diastilus sulcata;0;0;0;0;0;1;0;0;0;0;0;0;0;0
10мм;11,20;0,00;0,00;0;0;0;0;0;0;0,1962310661;0;16,0617701104;7,4767550968;6,0636955784
5мм;8,05;0,86;0,00;0;0;0;0,7714767605;0;0;0,1729959125;0,0829457824;10,2766862986;11,6178245698;7,0983548866
