.	Alitte_virens	Arenicola_marina_	Atylus_carinatus	Capitella_capitata	Chironomidae	Clitellio_arenarius	Corophium_bonelli	Crangon_crangon	Cylichna_alba	Cylichna_occulta	Diastylis_sulcata	Dolichopodidae	Enchytraeidae	Epheria_vincta	Eteone_longa	Fabricia_sabella	Gammarus_sp	Halicryptus_spinulosus	Harmathoe_imbricata	Hydrobia_ulvae	Jaera_sp	Limaponlia_cocksi	Littorina_littorea	Littorina_obtusata	Littorina_saxatilis	Macoma_balthica	Micronephthys_minuta	Microspio_theli	Monoculodes_sp.	Mya_arenaria	Mytilus_edulis	Nemertini_indet.	Nephthys_sp.	Oligochaeta	Ophelia_limacina	Paranais_littoralis	Pectinaria_sp.	Phyllodoce_groenlandica	Polydora_quadrilobata	Pontoporea_affinis	Pseudalibrotus_littoralis	Pygospio_elegans	Scalibregma_inflatum	Scoloplos_armiger	Spio_filicornis	Spionidae_gen._sp.	Travisia_forbesii	Tubifex_costatus	Tubificoides_benedeni	Nereimyra_(Castalia)_punctata	Chaetozone_setosa	Priapulus_caudatus	Priscillina_armata	Serripes_groenlandica	Skeneopsis_planorbis	Pontoporea_femorata	Diastilus_sulcata	10??	5??	2??	1??	0,5??	0,25??	0,1??	<0,1??	Cerastoderma_edule	Hyale_prevosti	Nainereis_quadricuspida	Nereis_pelagica	Onoba_aculeas	
_2_ZRS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	11,20	8,05	8,15	6,44	14,31	16,27	25,77	9,81	0	0	0	0	0	
_2_Lomnishniy	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
_2_YuG	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
_3_Goreliy	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0,00	0,86	1,82	1,76	7,01	17,34	45,34	25,88	0	0	0	0	0	
_3_Estuary	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00	0,00	0,05	0,80	4,01	17,34	42,87	34,94	0	0	0	0	0	
_3_razrez2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
_4_Abram	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0,7714767605	0,3539476076	2,8411956308	6,8209661541	6,7418769148	36,0057018689	44,1581586288	0	0	0	0	0	
_4_Pala	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	24,4529952183	13,9174756452	26,0046486377	34,6272304287	0,9976500702	1	1	0	1	1	
_5_Gavrilovo	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0,0371452329	4,5772993005	23,8013750825	58,4237094335	11,6094448135	0,7358867609	0	0	0	0	0	
_5_Yarnyshnaya	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0,1962310661	0,1729959125	2,7181316303	32,0301817324	29,663444347	19,0203194815	14,310609151	0,9872297449	1	0	0	0	1	
_5_DZ	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0,0829457824	0,2235794813	7,8062385983	36,2012245232	38,2571601019	16,0048848643	0,8161319982	1	0	1	0	0	
_5_Shelpino	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16,0617701104	10,2766862986	3,766388418	7,9553227253	22,7553610929	22,448923174	14,4591282771	1,6027674913	0	0	0	0	0	
_5_Porchnikha	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	7,4767550968	11,6178245698	6,5354598691	26,1705018789	16,83536125	12,7445634077	19,0297727779	1,6768878871	1	0	1	0	1	
_5_Ivanovskaya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	6,0636955784	7,0983548866	4,0578362357	16,6987456789	9,2693735001	8,8846794449	35,6505814242	11,0931129855	0	0	0	0	0	
