"X.1.2.5..fucus_zone";"X.2.5.7.9..fucus_zone";"X.7.9.24..fucus_zone";"X.1.2.5..high_beatch";"X.2.5.7.9..high_beatch";"X.7.9.24..high_beatch";"X.1.2.5..low_beatch";"X.2.5.7.9..low_beatch";"X.7.9.24..low_beatch";"X.1.2.5..zostera_zone";"X.2.5.7.9..zostera_zone";"X.7.9.24..zostera_zone"
"1992";0;21;9;0;10,5;22,5;3;51;30;1,5;39;15
"1993";9;45;30;3;73,5;6;19,5;36;33;10,5;30;81
"1994";39;118,5;66;12;79,5;24;12;67,5;60;40,5;88,5;100,5
"1995";67,5;111;105;27;87;67,5;42;96;117;45;69;51
"1996";4,5;111;115,5;10,5;73,5;55,5;18;88,5;154,5;10,5;69;49,5
"1997";42;64,5;109,5;18;24;51;52,5;37,5;174;40,5;33;102
"1998";490,5;225;109,5;261;141;24;109,5;54;132;429;57;120
"1999";823,5;243;102;996;87;3;361,5;135;87;405;234;82,5
"2000";346;296;94;60;262;30;230;204;104;402;330;122
"2002";297,5;342,5;172,5;45;220;75;45;52,5;37,5;225;415;192,5
"2004";337,5;427,5;265;425;172,5;102,5;0;0;0;272,5;267,5;217,5
