year;ZRS;YuG;Lomnishniy;Goreliy_high;Goreliy_middle;Goreliy_midlow;Goreliy_low;materik_fucus;materik_high;materik_low;materik_zostera
1992;NA;NA;NA;0;1,1764705882;0;0;0;0;3;1,5
1993;NA;NA;NA;1,5384615385;16,9230769231;25,3846153846;16,6666666667;9;3;19,5;10,5
1994;40;NA;NA;87,5;92,5;50;140;39;12;12;40,5
1995;35;NA;NA;2,5;5;130;96,6666666667;67,5;27;42;45
1996;10;NA;NA;5;50;2,5;20;4,5;10,5;18;10,5
1997;5;NA;NA;2,5;10;2,5;0;42;18;52,5;40,5
1998;345;NA;NA;117,5;307,5;375;490;490,5;261;109,5;429
1999;5755;NA;NA;567,5;1770;707,5;1420;823,5;996;361,5;405
2000;1810;NA;NA;832,5;615;95;183,3333333333;346;60;230;402
2001;400;240;NA;225;142,5;102,5;243,3333333333;NA;NA;NA;NA
2002;175;429,375;NA;150;135;47,5;130;297,5;45;45;225
2003;55;960;NA;142,5;105;245;576,6666666667;NA;NA;NA;NA
2004;855;1200;NA;367,5;145;27,5;1450;337,5;425;NA;272,5
2005;235;338;NA;270;187,5;0;396,6666666667;NA;NA;NA;NA
2006;135;337,5;NA;237,5;247,5;12,5;136,6666666667;NA;NA;NA;NA
2007;110;932;204;287,5;340;35;1503,3333333333;NA;NA;NA;NA
2008;725;708;1116;112,5;362,5;92,5;640;NA;NA;NA;NA
2009;665;466;99;260;85;77,5;733,3333333333;NA;NA;NA;NA
2010;330;210;45;32,5;22,5;32,5;576,6666666667;NA;NA;NA;NA
2011;195;126;78;92,5;92,5;155;196,6666666667;NA;NA;NA;NA
2012;155;106;246;160;137,5;25;163,3333333333;NA;NA;NA;NA
