#young — 1-2 mm = osobi schitaemye 1+ v momet year+1. Old — polovozrelye osobi = >8mm v moment year;;;;;
area;tidal_zone;year;area_code;young;old
Luvenga_estuary;middle;1992;est1992;8,2644628099;90,9090909091
Luvenga_estuary;middle;1993;est1993;18,025751073;14,0495867769
Luvenga_estuary;middle;1994;est1994;20,4225352113;40,3433476395
Luvenga_estuary;middle;1995;est1995;5,9405940594;49,2957746479
Luvenga_estuary;middle;1996;est1996;0;60,396039604
Luvenga_estuary;middle;1997;est1997;65,3333333333;73,4375
Luvenga_estuary;middle;1998;est1998;68,4887459807;24
Luvenga_estuary;middle;1999;est1999;9,5818815331;1,768488746
Luvenga_estuary;middle;2000;est2000;9,3350383632;6,0975609756
Luvenga_estuary;middle;2001;est2001;6,7826086957;11,8925831202
Luvenga_estuary;middle;2002;est2002;25,975975976;16
Luvenga_estuary;middle;2003;est2003;43,5435435435;33,4834834835
Luvenga_estuary;middle;2004;est2004;24,4353182752;29,1291291291
Luvenga_estuary;middle;2005;est2005;13,7583892617;39,4250513347
Luvenga_estuary;middle;2006;est2006;59,0314136126;47,6510067114
Luvenga_estuary;middle;2007;est2007;38,0198019802;21,5968586387
Luvenga_estuary;middle;2008;est2008;39,4265232975;30,297029703
Luvenga_estuary;middle;2009;est2009;28,038897893;20,0716845878
Luvenga_estuary;middle;2010;est2010;12,016293279;27,7147487844
Luvenga_estuary;middle;2011;est2011;13,9601139601;48,8798370672
Lomnishniy;low;2007;lom2007;72,9411764706;4,7904191617
Lomnishniy;low;2008;lom2008;12,1771217712;9,0196078431
Lomnishniy;low;2009;lom2009;8,3333333333;16,6051660517
Lomnishniy;low;2010;lom2010;20,6349206349;31,1111111111
Lomnishniy;low;2011;lom2011;47,9532163743;10,3174603175
YuG;low;2001;yug2001;35,8934169279;8,7533156499
YuG;low;2002;yug2002;54,5454545455;12,0689655172
YuG;low;2003;yug2003;62,7261761158;4,3181818182
YuG;low;2004;yug2004;39,3023255814;0,1206272618
YuG;low;2005;yug2005;40,059347181;1,1627906977
YuG;low;2006;yug2006;66,0056657224;0,5934718101
YuG;low;2007;yug2007;49,3723849372;1,6997167139
YuG;low;2008;yug2008;41,5329768271;4,8117154812
YuG;low;2009;yug2009;30,7917888563;14,2602495544
YuG;low;2010;yug2010;34,6153846154;20,2346041056
YuG;low;2011;yug2011;74,6478873239;17,032967033
ZRS;middle;1994;zrs1994;7,1428571429;46,6666666667
ZRS;middle;1995;zrs1995;3,8461538462;55,1020408163
ZRS;middle;1996;zrs1996;2,2727272727;69,2307692308
ZRS;middle;1997;zrs1997;45,6953642384;88,6363636364
ZRS;middle;1998;zrs1998;67,4677608441;42,3841059603
ZRS;middle;1999;zrs1999;62,1993127148;4,0445486518
ZRS;middle;2000;zrs2000;15,9045725646;6,0137457045
ZRS;middle;2001;zrs2001;6,5055762082;24,6520874751
ZRS;middle;2002;zrs2002;2,8497409326;32,7137546468
ZRS;middle;2003;zrs2003;36,3057324841;38,3419689119
ZRS;middle;2004;zrs2004;12,8767123288;34,6072186837
ZRS;middle;2005;zrs2005;16,9811320755;47,1232876712
ZRS;middle;2006;zrs2006;10,4265402844;66,0377358491
ZRS;middle;2007;zrs2007;39,402173913;77,7251184834
ZRS;middle;2008;zrs2008;38,1088825215;38,8586956522
ZRS;middle;2009;zrs2009;26,7295597484;37,2492836676
ZRS;middle;2010;zrs2010;14,089347079;35,8490566038
ZRS;middle;2011;zrs2011;16,5745856354;53,264604811
Goreliy;high;1992;gorh1992;4,6511627907;78,431372549
Goreliy;high;1993;gorh1993;28,6885245902;18,6046511628
Goreliy;high;1994;gorh1994;4,7619047619;29,5081967213
Goreliy;high;1995;gorh1995;7,6923076923;90,4761904762
Goreliy;high;1996;gorh1996;6,25;65,3846153846
Goreliy;high;1997;gorh1997;50,5376344086;68,75
Goreliy;high;1998;gorh1998;71,835443038;11,8279569892
Goreliy;high;1999;gorh1999;54,5901639344;7,2784810127
Goreliy;high;2000;gorh2000;29,702970297;8,3606557377
Goreliy;high;2001;gorh2001;25,2100840336;16,8316831683
Goreliy;high;2002;gorh2002;27,0142180095;17,6470588235
Goreliy;high;2003;gorh2003;56,106870229;18,009478673
Goreliy;high;2004;gorh2004;35,2941176471;12,213740458
Goreliy;high;2005;gorh2005;43,1818181818;18,3006535948
Goreliy;high;2006;gorh2006;59,2783505155;22,7272727273
Goreliy;high;2007;gorh2007;40,9090909091;20,618556701
Goreliy;high;2008;gorh2008;55,9139784946;27,2727272727
Goreliy;high;2009;gorh2009;14,4444444444;19,8924731183
Goreliy;high;2010;gorh2010;18,5;24,4444444444
Goreliy;high;2011;gorh2011;35,5555555556;1,5
Goreliy;low;1992;gorl1992;3,4482758621;50
Goreliy;low;1993;gorl1993;7,6923076923;37,9310344828
Goreliy;low;1994;gorl1994;40,9090909091;43,5897435897
Goreliy;low;1995;gorl1995;7,1428571429;23,6363636364
Goreliy;low;1996;gorl1996;23,6842105263;85,7142857143
Goreliy;low;1997;gorl1997;60,7142857143;55,2631578947
Goreliy;low;1998;gorl1998;63,1284916201;8,9285714286
Goreliy;low;1999;gorl1999;8,3333333333;9,217877095
Goreliy;low;2000;gorl2000;9,5238095238;26,3888888889
Goreliy;low;2001;gorl2001;8,6021505376;25
Goreliy;low;2002;gorl2002;6,4935064935;16,1290322581
Goreliy;low;2003;gorl2003;9,7402597403;46,1038961039
Goreliy;low;2004;gorl2004;2,4096385542;62,3376623377
Goreliy;low;2005;gorl2005;3,9473684211;72,2891566265
Goreliy;low;2006;gorl2006;4,5454545455;68,4210526316
Goreliy;low;2007;gorl2007;28,3783783784;74,2424242424
Goreliy;low;2008;gorl2008;12,7659574468;40,5405405405
Goreliy;low;2009;gorl2009;27,1929824561;61,7021276596
Goreliy;low;2010;gorl2010;35,4545454545;19,298245614
Goreliy;low;2011;gorl2011;2,380952381;28,1818181818
Goreliy;middle;1992;gorm1992;15,2777777778;37,037037037
Goreliy;middle;1993;gorm1993;27,2058823529;21,5277777778
Goreliy;middle;1994;gorm1994;2,7777777778;22,0588235294
Goreliy;middle;1995;gorm1995;13,8888888889;66,6666666667
Goreliy;middle;1996;gorm1996;6,8965517241;52,0833333333
Goreliy;middle;1997;gorm1997;51,25;65,5172413793
Goreliy;middle;1998;gorm1998;88,1693648817;2,5
Goreliy;middle;1999;gorm1999;51,25;1,2453300125
Goreliy;middle;2000;gorm2000;16,1473087819;6,25
Goreliy;middle;2001;gorm2001;24,5454545455;11,0481586402
Goreliy;middle;2002;gorm2002;19,9052132701;11,3636363636
Goreliy;middle;2003;gorm2003;34,1176470588;20,8530805687
Goreliy;middle;2004;gorm2004;32,7510917031;30
Goreliy;middle;2005;gorm2005;51,832460733;31,0043668122
Goreliy;middle;2006;gorm2006;68,3417085427;26,7015706806
Goreliy;middle;2007;gorm2007;52,9197080292;18,5929648241
Goreliy;middle;2008;gorm2008;26,5625;8,7591240876
Goreliy;middle;2009;gorm2009;13,0434782609;21,09375
Goreliy;middle;2010;gorm2010;30,5785123967;31,884057971
Goreliy;middle;2011;gorm2011;29,8342541436;27,2727272727
Goreliy;midlow;1992;gorml1992;45,2054794521;20
Goreliy;midlow;1993;gorml1993;10,989010989;31,5068493151
Goreliy;midlow;1994;gorml1994;29,7142857143;30,7692307692
Goreliy;midlow;1995;gorml1995;2,1276595745;32,5714285714
Goreliy;midlow;1996;gorml1996;5,5555555556;70,2127659574
Goreliy;midlow;1997;gorml1997;64,6551724138;94,4444444444
Goreliy;midlow;1998;gorml1998;66,7452830189;8,6206896552
Goreliy;midlow;1999;gorml1999;28,1481481481;5,8962264151
Goreliy;midlow;2000;gorml2000;18,3035714286;18,5185185185
Goreliy;midlow;2001;gorml2001;26,0273972603;16,0714285714
Goreliy;midlow;2002;gorml2002;36,1623616236;4,1095890411
Goreliy;midlow;2003;gorml2003;10,5769230769;16,2361623616
Goreliy;midlow;2004;gorml2004;0;53,8461538462
Goreliy;midlow;2005;gorml2005;7,6923076923;57,037037037
Goreliy;midlow;2006;gorml2006;25,9259259259;58,4615384615
Goreliy;midlow;2007;gorml2007;35,9223300971;55,5555555556
Goreliy;midlow;2008;gorml2008;39,2405063291;23,3009708738
Goreliy;midlow;2009;gorml2009;9,7744360902;31,6455696203
Goreliy;midlow;2010;gorml2010;38,9937106918;27,8195488722
Goreliy;midlow;2011;gorml2011;13,1578947368;30,8176100629
razrez2;fucus_zone;1992;matf1992;10,7142857143;30
razrez2;fucus_zone;1993;matf1993;17,4496644295;35,7142857143
razrez2;fucus_zone;1994;matf1994;23,8095238095;29,5302013423
razrez2;fucus_zone;1995;matf1995;1,9480519481;37,037037037
razrez2;fucus_zone;1996;matf1996;19,4444444444;50
razrez2;fucus_zone;1997;matf1997;59,4545454545;50,6944444444
razrez2;fucus_zone;1998;matf1998;70,4749679076;13,2727272727
razrez2;fucus_zone;1999;matf1999;47,0108695652;8,729139923
razrez2;high_beatch;1992;math1992;3,6363636364;68,1818181818
razrez2;high_beatch;1993;math1993;10,3896103896;7,2727272727
razrez2;high_beatch;1994;math1994;14,8760330579;20,7792207792
razrez2;high_beatch;1995;math1995;7,5268817204;37,1900826446
razrez2;high_beatch;1996;math1996;19,3548387097;39,7849462366
razrez2;high_beatch;1997;math1997;61,2676056338;54,8387096774
razrez2;high_beatch;1998;math1998;91,7127071823;5,6338028169
razrez2;high_beatch;1999;math1999;17,0454545455;0,2762430939
razrez2;low_beatch;1992;matl1992;22,0338983051;35,7142857143
razrez2;low_beatch;1993;matl1993;8,6021505376;37,2881355932
razrez2;low_beatch;1994;matl1994;16,4705882353;43,0107526882
razrez2;low_beatch;1995;matl1995;6,8965517241;45,8823529412
razrez2;low_beatch;1996;matl1996;19,8863636364;59,1954022989
razrez2;low_beatch;1997;matl1997;37,0558375635;65,9090909091
razrez2;low_beatch;1998;matl1998;61,9537275064;44,6700507614
razrez2;low_beatch;1999;matl1999;42,750929368;14,9100257069
razrez2;zostera_zone;1992;matz1992;8,6419753086;27,027027027
razrez2;zostera_zone;1993;matz1993;17,6470588235;66,6666666667
razrez2;zostera_zone;1994;matz1994;27,2727272727;43,7908496732
razrez2;zostera_zone;1995;matz1995;8,1395348837;30,9090909091
razrez2;zostera_zone;1996;matz1996;23,0769230769;38,3720930233
razrez2;zostera_zone;1997;matz1997;70,7920792079;58,1196581197
razrez2;zostera_zone;1998;matz1998;56,1330561331;19,801980198
razrez2;zostera_zone;1999;matz1999;47,0725995316;11,4345114345
