"X.1.2.5..high";"X.2.5.7.9..high";"X.7.9.20.4..high";"X.1.2.5..low";"X.2.5.7.9..low";"X.7.9.20.4..low";"X.1.2.5..middle";"X.2.5.7.9..middle";"X.7.9.20.4..middle";"X.1.2.5..midlow";"X.2.5.7.9..midlow";"X.7.9.20.4..midlow"
"1992";0;6,47058823529412;23,5294117647059;0;1,17647058823529;1,17647058823529;1,17647058823529;18,8235294117647;11,7647058823529;0;4,70588235294118;1,17647058823529
"1993";1,53846153846154;25,3846153846154;6,15384615384615;0,769230769230769;13,0769230769231;8,46153846153846;16,9230769230769;70;23,8461538461538;25,3846153846154;13,0769230769231;17,6923076923077
"1994";87,5;127,5;90;7,5;47,5;42,5;92,5;172,5;75;50;265;140
"1995";2,5;2,5;47,5;112,5;97,5;65;5;55;120;130;165;142,5
"1996";5;17,5;42,5;7,5;7,5;90;50;122,5;187,5;2,5;32,5;82,5
"1997";2,5;10;27,5;22,5;20;52,5;10;40;95;2,5;0;42,5
"1998";117,5;87,5;27,5;170;85;25;307,5;277,5;15;375;155;50
"1999";567,5;165;57,5;565;247,5;82,5;1770;212,5;25;707,5;290;62,5
"2000";832,5;565;127,5;15;117,5;47,5;615;510;75;95;180;62,5
"2001";225;405;127,5;20;137,5;52,5;142,5;642,5;97,5;102,5;367,5;90
"2002";150;340;105;20;175;37,5;135;352,5;62,5;47,5;127,5;7,5
"2003";142,5;290;95;25;182,5;177,5;105;312,5;110;245;322,5;110
"2004";367,5;207,5;80;37,5;107,5;240;145;152,5;127,5;27,5;92,5;140
"2005";270;355;140;5;52,5;150;187,5;207,5;177,5;0;145;192,5
"2006";237,5;187,5;125;7,5;52,5;130;247,5;102,5;127,5;12,5;55;95
"2007";287,5;97,5;100;7,5;35;122,5;340;65;92,5;35;25;75
"2008";112,5;87,5;75;52,5;57,5;75;362,5;262,5;60;92,5;105;60
"2009";260;112,5;92,5;15;30;72,5;85;167,5;67,5;77,5;57,5;62,5
"2010";32,5;137,5;55;77,5;152,5;55;22,5;95;55;32,5;207,5;92,5
"2011";92,5;400;7,5;97,5;100;77,5;92,5;127,5;82,5;155;120;122,5
"2012";160;185;105;5;95;110;137,5;145;165;25;112,5;52,5
