# young = mean N of 1+ == with shell length 1.0-2.0mm in sq.meter, N2_all = mean N of all with shell length >2.0mm in sq.meter, N8_previous = mean N of adult == with shell length >8.0mm in previous year, B8_previous = mean B of adult == with shell length >8.0mm in previous year;;;;;;
area;tidal_zone;year;young;N2_all;N8_previous;B8_previous
ZRS;middle;1994;40;450;NA;NA
ZRS;middle;1995;35;490;210;55,6555236938
ZRS;middle;1996;10;260;270;67,3591617472
ZRS;middle;1997;5;220;180;43,8289779049
ZRS;middle;1998;345;755;195;35,7332232547
ZRS;middle;1999;5755;8530;320;98,7947972261
ZRS;middle;2000;1810;2910;345;90,2763058854
ZRS;middle;2001;400;2515;175;37,4643675294
ZRS;middle;2002;175;2690;620;92,0566564156
ZRS;middle;2003;55;1930;880;121,1323930449
ZRS;middle;2004;855;2355;740;101,748631009
ZRS;middle;2005;235;1825;815;101,2747958871
ZRS;middle;2006;135;795;860;102,8707100853
ZRS;middle;2007;110;1055;525;68,1745172561
ZRS;middle;2008;725;1840;820;116,2928439987
ZRS;middle;2009;665;1745;715;112,4361635862
ZRS;middle;2010;330;1680;650;102,0761898563
ZRS;middle;2011;195;1455;805;140,8868789807
ZRS;middle;2012;155;910;780;120,301065158
YuG;low;2001;240;1256,6666666667;NA;NA
YuG;low;2002;429,375;1196,25;110;16,678338431
YuG;low;2003;960;1758;144,375;45,5205437449
YuG;low;2004;1200;1913,0769230769;76;51,1666693057
YuG;low;2005;338;860;2,3076923077;3,8793957634
YuG;low;2006;337,5;842,5;10;3,4515763111
YuG;low;2007;932;1412;5;3,2580630493
YuG;low;2008;708;1434;24;5,77110193
YuG;low;2009;466;1122;69;7,3833741258
YuG;low;2010;210;682;160;28,8584183656
YuG;low;2011;126;364;138;24,1977457159
YuG;low;2012;106;142;62;32,058178837
Lomnishniy;low;2007;204;501;NA;NA
Lomnishniy;low;2008;1116;1530;24;24,3205999318
Lomnishniy;low;2009;99;813;138;29,3322019413
Lomnishniy;low;2010;45;540;135;34,6437723663
Lomnishniy;low;2011;78;378;168;49,4796297419
Lomnishniy;low;2012;246;513;39;34,9889684445
Goreliy;high;1992;0;30;NA;NA
Goreliy;high;1993;1,5384615385;33,0769230769;23,5294117647;
Goreliy;high;1994;87,5;305;6,1538461538;
Goreliy;high;1995;2,5;52,5;90;
Goreliy;high;1996;5;65;47,5;
Goreliy;high;1997;2,5;40;42,5;
Goreliy;high;1998;117,5;232,5;27,5;
Goreliy;high;1999;567,5;790;27,5;
Goreliy;high;2000;832,5;1525;57,5;
Goreliy;high;2001;225;757,5;127,5;
Goreliy;high;2002;150;595;127,5;
Goreliy;high;2003;142,5;527,5;105;
Goreliy;high;2004;367,5;655;95;
Goreliy;high;2005;270;765;80;
Goreliy;high;2006;237,5;550;140;
Goreliy;high;2007;287,5;485;125;
Goreliy;high;2008;112,5;275;100;
Goreliy;high;2009;260;465;75;
Goreliy;high;2010;32,5;225;92,5;
Goreliy;high;2011;92,5;500;55;
Goreliy;high;2012;160;450;7,5;
Goreliy;low;1992;0;2,3529411765;NA;
Goreliy;low;1993;0,7692307692;22,3076923077;1,1764705882;
Goreliy;low;1994;7,5;97,5;8,4615384615;
Goreliy;low;1995;112,5;275;42,5;
Goreliy;low;1996;7,5;105;65;
Goreliy;low;1997;22,5;95;90;
Goreliy;low;1998;170;280;52,5;
Goreliy;low;1999;565;895;25;
Goreliy;low;2000;15;180;82,5;
Goreliy;low;2001;20;210;47,5;
Goreliy;low;2002;20;232,5;52,5;
Goreliy;low;2003;25;385;37,5;
Goreliy;low;2004;37,5;385;177,5;
Goreliy;low;2005;5;207,5;240;
Goreliy;low;2006;7,5;190;150;
Goreliy;low;2007;7,5;165;130;
Goreliy;low;2008;52,5;185;122,5;
Goreliy;low;2009;15;117,5;75;
Goreliy;low;2010;77,5;285;72,5;
Goreliy;low;2011;97,5;275;55;
Goreliy;low;2012;5;210;77,5;
Goreliy;middle;1992;1,1764705882;31,7647058824;NA;NA
Goreliy;middle;1993;16,9230769231;110,7692307692;11,7647058824;
Goreliy;middle;1994;92,5;340;23,8461538462;
Goreliy;middle;1995;5;177,5;75;
Goreliy;middle;1996;50;360;120;
Goreliy;middle;1997;10;145;187,5;
Goreliy;middle;1998;307,5;600;95;
Goreliy;middle;1999;1770;2007,5;15;
Goreliy;middle;2000;615;1200;25;
Goreliy;middle;2001;142,5;882,5;75;
Goreliy;middle;2002;135;NA;97,5;
Goreliy;middle;2003;105;527,5;62,5;
Goreliy;middle;2004;145;425;110;
Goreliy;middle;2005;187,5;572,5;127,5;
Goreliy;middle;2006;247,5;477,5;177,5;
Goreliy;middle;2007;340;497,5;127,5;
Goreliy;middle;2008;362,5;685;92,5;
Goreliy;middle;2009;85;320;60;
Goreliy;middle;2010;22,5;172,5;67,5;
Goreliy;middle;2011;92,5;302,5;55;
Goreliy;middle;2012;137,5;447,5;82,5;
Goreliy;midlow;1992;0;5,8823529412;NA;NA
Goreliy;midlow;1993;25,3846153846;56,1538461538;1,1764705882;
Goreliy;midlow;1994;50;455;17,6923076923;
Goreliy;midlow;1995;130;437,5;140;
Goreliy;midlow;1996;2,5;117,5;142,5;
Goreliy;midlow;1997;2,5;45;82,5;
Goreliy;midlow;1998;375;580;42,5;
Goreliy;midlow;1999;707,5;1060;50;
Goreliy;midlow;2000;95;337,5;62,5;
Goreliy;midlow;2001;102,5;560;62,5;
Goreliy;midlow;2002;47,5;182,5;90;
Goreliy;midlow;2003;245;677,5;7,5;
Goreliy;midlow;2004;27,5;260;110;
Goreliy;midlow;2005;0;337,5;140;
Goreliy;midlow;2006;12,5;162,5;192,5;
Goreliy;midlow;2007;35;135;95;
Goreliy;midlow;2008;92,5;257,5;75;
Goreliy;midlow;2009;77,5;197,5;60;
Goreliy;midlow;2010;32,5;332,5;62,5;
Goreliy;midlow;2011;155;397,5;92,5;
Goreliy;midlow;2012;25;190;122,5;
Estuary;middle;1992;0;55;NA;NA
Estuary;middle;1993;16,6666666667;201,6666666667;50;13,4620900643
Estuary;middle;1994;140;776,6666666667;28,3333333333;12,587967987
Estuary;middle;1995;96,6666666667;473,3333333333;313,3333333333;59,3244753979
Estuary;middle;1996;20;336,6666666667;233,3333333333;42,9971977416
Estuary;middle;1997;0;213,3333333333;203,3333333333;42,223798881
Estuary;middle;1998;490;750;156,6666666667;35,6927857237
Estuary;middle;1999;1420;2073,3333333333;180;53,0471162046
Estuary;middle;2000;183,3333333333;1913,3333333333;36,6666666667;10,6681262198
Estuary;middle;2001;243,3333333333;2606,6666666667;116,6666666667;26,8274378886
Estuary;middle;2002;130;1916,6666666667;310;43,7596530764
Estuary;middle;2003;576,6666666667;2220;306,6666666667;39,6528609464
Estuary;middle;2004;1450;3330;743,3333333333;74,956211483
Estuary;middle;2005;396,6666666667;1623,3333333333;970;100,0515782754
Estuary;middle;2006;136,6666666667;993,3333333333;640;73,0660491688
Estuary;middle;2007;1503,3333333333;2546,6666666667;473,3333333333;73,6373868991
Estuary;middle;2008;640;1683,3333333333;550;94,6082273952
Estuary;middle;2009;733,3333333333;1860;510;103,7510389497
Estuary;middle;2010;576,6666666667;2056,6666666667;373,3333333333;78,5196959396
Estuary;middle;2011;196,6666666667;1636,6666666667;570;103,7032154796
Estuary;middle;2012;163,3333333333;1170;800;139,756079393
materik;fucus_zone;1992;0;28,5;NA;NA
materik;fucus_zone;1993;9;84;9;
materik;fucus_zone;1994;39;223,5;30;
materik;fucus_zone;1995;67,5;283,5;66;
materik;fucus_zone;1996;4,5;231;105;
materik;fucus_zone;1997;42;216;115,5;
materik;fucus_zone;1998;490,5;825;109,5;
materik;fucus_zone;1999;823,5;1168,5;109,5;
materik;fucus_zone;2000;346;736;102;
materik;fucus_zone;2002;297,5;812,5;94;
materik;fucus_zone;2004;337,5;1030;172,5;
materik;high_beatch;1992;0;33;NA;NA
materik;high_beatch;1993;3;82,5;22,5;
materik;high_beatch;1994;12;115,5;6;
materik;high_beatch;1995;27;181,5;24;
materik;high_beatch;1996;10,5;139,5;67,5;
materik;high_beatch;1997;18;93;55,5;
materik;high_beatch;1998;261;426;51;
materik;high_beatch;1999;996;1086;24;
materik;high_beatch;2000;60;352;3;
materik;high_beatch;2002;45;340;30;
materik;high_beatch;2004;425;700;75;
materik;low_beatch;1992;3;84;NA;NA
materik;low_beatch;1993;19,5;88,5;30;
materik;low_beatch;1994;12;139,5;33;
materik;low_beatch;1995;42;253,5;60;
materik;low_beatch;1996;18;261;117;
materik;low_beatch;1997;52,5;264;154,5;
materik;low_beatch;1998;109,5;295,5;174;
materik;low_beatch;1999;361,5;582;132;
materik;low_beatch;2000;230;538;87;
materik;low_beatch;2002;45;135;104;
materik;zostera_zone;1992;1,5;55,5;NA;NA
materik;zostera_zone;1993;10,5;121,5;15;
materik;zostera_zone;1994;40,5;229,5;81;
materik;zostera_zone;1995;45;165;100,5;
materik;zostera_zone;1996;10,5;129;51;
materik;zostera_zone;1997;40,5;175,5;49,5;
materik;zostera_zone;1998;429;606;102;
materik;zostera_zone;1999;405;721,5;120;
materik;zostera_zone;2000;402;854;82,5;
materik;zostera_zone;2002;225;832,5;122;
materik;zostera_zone;2004;272,5;757,5;192,5;
